start,end,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
46.0,47.0,0.31749,0.57235,0.38985,0.0
47.0,48.0,0.68423,0.36177,0.6933,0.0
48.0,49.0,0.0,0.2203,0.74082,0.0
49.0,50.0,0.93521,0.44168,0.84687,0.0
50.0,51.0,0.82009,0.48834,0.69762,0.0
51.0,52.0,0.76242,0.49028,0.64147,0.0
52.0,53.0,0.72138,0.40821,0.67819,0.0
53.0,54.0,0.90151,0.35421,0.76112,0.0
54.0,55.0,0.71922,0.38877,0.76091,0.0
55.0,56.0,0.0,0.27862,0.8838,0.0
56.0,57.0,0.81577,0.2851,0.84881,0.0
57.0,58.0,0.76652,0.24514,0.84881,0.0
58.0,59.0,0.72246,0.24082,0.80562,0.0
59.0,60.0,0.70842,0.34341,0.79114,0.0
60.0,61.0,0.82721,0.27322,0.83348,0.0
61.0,62.0,0.91663,0.28726,0.77387,0.0
62.0,63.0,0.77106,0.28186,0.82721,0.0
63.0,64.0,0.80562,0.33369,0.89201,0.0
64.0,65.0,0.0,0.28207,0.81425,0.0
65.0,66.0,0.87041,0.37019,0.80562,0.0
66.0,67.0,0.87041,0.37905,0.873,0.0
67.0,68.0,0.0,0.44816,0.80324,0.0
68.0,69.0,0.89201,0.42333,0.80562,0.0
69.0,70.0,0.84881,0.39417,0.80562,0.0
70.0,71.0,0.0,0.39525,0.78402,0.0
71.0,72.0,0.84881,0.41037,0.0,0.0
72.0,73.0,0.0,0.38013,0.8581,0.0
73.0,74.0,0.87041,0.42333,0.83197,0.0
74.0,75.0,0.0,0.42549,0.85594,0.0
75.0,76.0,0.89201,0.40389,0.87041,0.0
76.0,77.0,0.76242,0.35421,0.79741,0.0
77.0,78.0,0.87343,0.39417,0.82052,0.0
78.0,79.0,0.91793,0.38877,0.89201,0.0
79.0,80.0,0.91361,0.26026,0.89201,0.0
80.0,81.0,0.9568,0.23737,0.92441,0.0
81.0,82.0,0.9568,0.31857,0.84881,0.0
82.0,83.0,0.0,0.27538,0.9784,0.0
83.0,84.0,0.9784,0.28294,0.93521,0.0
84.0,85.0,0.0,0.37689,0.0,0.0
85.0,86.0,0.0,0.44384,0.0,0.0
86.0,87.0,0.0,0.39525,0.0,0.0
87.0,88.0,0.0,0.2959,0.0,0.0
88.0,89.0,0.0,0.33045,0.0,0.0
89.0,90.0,0.0,0.32181,0.0,0.0
90.0,91.0,0.0,0.37581,0.0,0.0
91.0,92.0,0.0,0.38445,0.0,0.0
92.0,93.0,0.0,0.55724,0.0,0.0
93.0,94.0,0.0,0.30022,0.0,0.0
94.0,95.0,0.0,0.30238,0.0,0.0
95.0,96.0,0.0,0.32397,0.0,0.0
96.0,97.0,0.0,0.29806,0.0,0.0
97.0,98.0,0.0,0.4406,0.0,0.0
98.0,99.0,0.0,0.39741,0.0,0.0
99.0,100.0,0.0,0.32829,0.0,0.0
100.0,101.0,0.0,0.28942,0.0,0.0
101.0,102.0,0.0,0.2311,0.0,0.0
102.0,103.0,0.0,0.20518,0.0,0.0
103.0,104.0,0.0,0.2959,0.0,0.0
104.0,105.0,0.0,0.2959,0.0,0.0
105.0,106.0,0.0,0.31533,0.0,0.0
106.0,107.0,0.0,0.3067,0.0,0.0
107.0,108.0,0.0,0.29374,0.0,0.0
108.0,109.0,0.0,0.28294,0.0,0.0
109.0,110.0,0.0,0.28942,0.0,0.0
110.0,111.0,0.0,0.26782,0.0,0.0
111.0,112.0,0.0,0.32397,0.0,0.0
112.0,113.0,0.0,0.30454,0.0,0.0
113.0,114.0,0.0,0.2959,0.0,0.0
114.0,115.0,0.0,0.29806,0.0,0.0
115.0,116.0,0.0,0.2635,0.0,0.0
116.0,117.0,0.93521,0.14039,0.88488,0.0
117.0,118.0,0.93521,0.23974,0.82721,0.0
118.0,119.0,0.0,0.30022,0.0,0.0
119.0,120.0,0.0,0.29158,0.0,0.0
120.0,121.0,0.0,0.27646,0.0,0.0
121.0,122.0,0.0,0.29158,0.0,0.0
122.0,123.0,0.0,0.24838,0.0,0.0
123.0,124.0,0.0,0.15983,0.93521,0.0
124.0,125.0,0.0,0.24838,0.84881,0.0
125.0,126.0,0.0,0.31102,0.9568,0.0
126.0,127.0,0.0,0.36933,0.9568,0.0
127.0,128.0,0.0,0.37365,0.0,0.0
128.0,129.0,0.9784,0.39093,0.0,0.0
129.0,130.0,0.0,0.32613,0.0,0.0
130.0,131.0,0.0,0.22246,0.0,0.0
131.0,132.0,0.0,0.26998,0.0,0.0
132.0,133.0,0.0,0.38229,0.0,0.0
133.0,134.0,0.0,0.41037,0.9784,0.0
134.0,135.0,0.0,0.40389,0.0,0.0
135.0,136.0,0.0,0.41037,0.0,0.0
136.0,137.0,0.0,0.39093,0.0,0.0
137.0,138.0,0.0,0.28143,0.0,0.0
138.0,139.0,0.0,0.27862,0.0,0.0
139.0,140.0,0.0,0.3013,0.0,0.0
140.0,141.0,0.0,0.32289,0.0,0.0
141.0,142.0,0.0,0.34017,0.0,0.0
142.0,143.0,0.0,0.37149,0.0,0.0
143.0,144.0,0.0,0.32829,0.0,0.0
144.0,145.0,0.0,0.29266,0.0,0.0
145.0,146.0,0.0,0.29266,0.0,0.0
146.0,147.0,0.0,0.29914,0.0,0.0
147.0,148.0,0.0,0.29698,0.0,0.0
148.0,149.0,0.0,0.30022,0.0,0.0
149.0,150.0,0.0,0.30454,0.0,0.0
150.0,151.0,0.0,0.30886,0.0,0.0
151.0,152.0,0.0,0.28834,0.0,0.0
152.0,153.0,0.0,0.34773,0.0,0.0
153.0,154.0,0.0,0.2851,0.0,0.0
154.0,155.0,0.0,0.41793,0.0,0.0
155.0,156.0,0.0,0.39849,0.0,0.0
156.0,157.0,0.0,0.35097,0.0,0.0
157.0,158.0,0.0,0.38985,0.0,0.0
