start,end,x_mean,y_mean,z_mean,x_average_jerk,x_average_absolute_value,x_median,x_std_dev,x_max_value,x_min_value,x_max_absolute_value,y_average_jerk,y_average_absolute_value,y_median,y_std_dev,y_max_value,y_min_value,y_max_absolute_value,z_average_jerk,z_average_absolute_value,z_median,z_std_dev,z_max_value,z_min_value,z_max_absolute_value,xy_corr,xz_corr,yz_corr
46.0,47.0,0.9668000000000001,-0.4514,0.026200000000000008,0.08273684210526315,0.9668000000000001,0.955,0.11235550720814712,1.186,0.678,1.186,0.0876842105263158,0.4514,-0.32099999999999995,0.3197981238218886,-0.068,-1.05,1.05,0.047473684210526314,0.1262,0.08299999999999999,0.1387557566373374,0.174,-0.25,0.25,0.4146081841007002,0.3072769832550892,0.8000679564119373
47.0,48.0,0.3768999999999999,-0.4088,0.7586,0.30305263157894735,0.41629999999999984,0.376,0.4040180565271805,1.66,-0.228,1.66,0.23726315789473684,0.4178,-0.32599999999999996,0.36222004361989685,0.048,-1.064,1.064,0.19515789473684209,0.7684000000000001,0.9,0.3829063070778542,1.214,-0.096,1.214,-0.3154420902804418,-0.40841051235197245,0.44329850615780114
48.0,49.0,0.6807000000000001,-0.3598,0.5668,0.16221052631578944,0.6973,0.838,0.47290983284342897,1.632,-0.158,1.632,0.19715789473684212,0.3598,-0.35,0.20249434560006854,-0.01,-0.994,0.994,0.10999999999999999,0.5668,0.585,0.2091127925307297,0.934,0.014,0.934,0.05541325355323153,-0.8872002524051765,0.11187942362762297
49.0,50.0,0.8571,-0.4462,0.25870000000000004,0.07842105263157893,0.8571,0.879,0.10983892752571833,1.02,0.47,1.02,0.09810526315789471,0.4462,-0.428,0.11950380747072453,-0.276,-0.82,0.82,0.04957894736842105,0.25870000000000004,0.268,0.06344848303939188,0.382,0.114,0.382,0.7725497965555331,0.20579805953060137,0.29683994581060985
50.0,51.0,0.6775,-0.6249999999999999,0.2543,0.07736842105263157,0.6775,0.802,0.23302435495029272,0.888,0.104,0.888,0.118421052631579,0.6249999999999999,-0.538,0.22717790385510647,-0.334,-1.112,1.112,0.05747368421052632,0.2559,0.308,0.12062715283052983,0.38,-0.016,0.38,0.7936626298304528,0.8499802623758136,0.8749034528148545
51.0,52.0,0.8875,-0.2566,0.4346,0.14673684210526317,0.8875,0.88,0.1272098659695859,1.202,0.572,1.202,0.24052631578947364,0.3036,-0.304,0.25645982141458334,0.156,-0.794,0.794,0.19084210526315792,0.4346,0.423,0.17210124926914389,0.972,0.176,0.972,0.694235765362515,0.029027573740885253,-0.038780112870799376
52.0,53.0,0.8667999999999999,-0.3478,0.37839999999999996,0.05799999999999998,0.8667999999999999,0.859,0.07790866447321503,1.052,0.684,1.052,0.1848421052631579,0.34940000000000004,-0.31,0.202319450374896,0.016,-1.05,1.05,0.07757894736842105,0.37839999999999996,0.372,0.09287324695519156,0.6,0.168,0.6,0.01579958615695093,0.3108616391973676,0.28508257984659857
53.0,54.0,0.9349999999999999,-0.2616,0.2911,0.043473684210526324,0.9349999999999999,0.939,0.04842932995613299,1.02,0.818,1.02,0.0308421052631579,0.2616,-0.253,0.04035641212992057,-0.194,-0.328,0.328,0.014105263157894735,0.2911,0.292,0.029849455606426056,0.344,0.246,0.344,0.2575681758949297,-0.17757466064211186,0.5569903444036697
54.0,55.0,0.9452,-0.2523,0.1592,0.036421052631578923,0.9452,0.943,0.03154298654217763,1.016,0.87,1.016,0.02168421052631579,0.2523,-0.249,0.027388136117669628,-0.206,-0.296,0.296,0.01347368421052631,0.1592,0.149,0.03755742270177761,0.238,0.112,0.238,-0.14520138438689273,-0.1572079013904966,0.0843453769795617
55.0,56.0,0.9436,-0.2778,0.1214,0.013684210526315738,0.9436,0.943,0.011110355529864887,0.96,0.92,0.96,0.01042105263157893,0.2778,-0.276,0.00965194280961091,-0.266,-0.304,0.304,0.010105263157894742,0.1214,0.124,0.009425497334358546,0.14,0.102,0.14,0.3644281015108767,-0.015660716096729536,0.3047012326026597
56.0,57.0,0.9423999999999999,-0.27190000000000003,0.1242,0.011052631578947331,0.9423999999999999,0.945,0.011516944039110346,0.962,0.912,0.962,0.007368421052631568,0.27190000000000003,-0.271,0.008281907992727272,-0.256,-0.288,0.288,0.010736842105263161,0.1242,0.125,0.008553361912137241,0.138,0.11,0.138,0.3371695777438993,0.017460406158217916,-0.1753292382784509
57.0,58.0,0.9467999999999999,-0.2636,0.1253,0.012736842105263145,0.9467999999999999,0.948,0.011496086290559914,0.962,0.91,0.962,0.009473684210526322,0.2636,-0.264,0.008777243302996677,-0.244,-0.284,0.284,0.013157894736842105,0.1253,0.124,0.01016415269464209,0.146,0.11,0.146,0.2981052879678234,0.37279207842656076,0.11074589231892519
58.0,59.0,0.9477000000000002,-0.2562,0.1258,0.012315789473684186,0.9477000000000002,0.948,0.009279547402756215,0.96,0.928,0.96,0.010947368421052641,0.2562,-0.257,0.009119210492142406,-0.242,-0.272,0.272,0.009052631578947371,0.1258,0.125,0.009097252332435328,0.146,0.098,0.146,0.30181224650894184,0.17697566865419845,-0.053519924091177576
59.0,60.0,0.9643,-0.2338,0.1356,0.015789473684210534,0.9643,0.965,0.01721946572922633,1.0,0.92,1.0,0.016631578947368417,0.2338,-0.228,0.04067382450667751,-0.186,-0.346,0.346,0.012210526315789472,0.1356,0.137,0.024638181751095188,0.172,0.082,0.172,0.6721193831347445,0.36468519244422326,0.7951869827360663
60.0,61.0,0.46019999999999983,-0.44530000000000003,0.582,0.06978947368421053,0.46019999999999983,0.353,0.30295471608806485,0.944,0.088,0.944,0.14263157894736841,0.5319,-0.42300000000000004,0.48264656841212494,0.31,-1.266,1.266,0.08705263157894737,0.582,0.634,0.2802184861853336,1.016,0.07,1.016,-0.6366277223073648,-0.7395052763930076,0.20919581602735368
61.0,62.0,0.37460000000000004,-0.1592,0.7975000000000001,0.07442105263157896,0.37460000000000004,0.14100000000000001,0.42102118711532804,1.31,0.034,1.31,0.10505263157894734,0.2472,-0.235,0.24927206020731646,0.318,-0.474,0.474,0.058947368421052616,0.7975000000000001,0.631,0.2552660376940106,1.144,0.542,1.144,-0.7158697060944831,-0.6305460151231373,0.8159678778999436
62.0,63.0,0.9860000000000001,-0.3024,0.19360000000000002,0.04547368421052632,0.9860000000000001,0.975,0.11376994330665721,1.212,0.8,1.212,0.03926315789473684,0.3024,-0.307,0.06171417989408917,-0.174,-0.434,0.434,0.026947368421052626,0.19360000000000002,0.14100000000000001,0.11844087132404928,0.48,0.094,0.48,-0.20335500876596585,0.8652608753594973,-0.16566975962973607
63.0,64.0,0.9351999999999998,-0.3155,0.09220000000000002,0.023999999999999987,0.9351999999999998,0.932,0.027902688042552443,1.004,0.866,1.004,0.014947368421052636,0.3155,-0.308,0.020754517580517266,-0.286,-0.346,0.346,0.01326315789473684,0.09220000000000002,0.092,0.025083062014036487,0.142,0.056,0.142,-0.4106323529217153,-0.018917397503761643,-0.4216395388189094
64.0,65.0,0.9343529411764706,-0.30847058823529416,0.11211764705882354,0.011624999999999955,0.9343529411764706,0.936,0.01004074743216555,0.95,0.91,0.95,0.009625000000000002,0.30847058823529416,-0.308,0.016051819200762867,-0.274,-0.336,0.336,0.013499999999999996,0.11211764705882354,0.11,0.017736245218863765,0.142,0.078,0.142,0.02000910979565923,0.12264262006401466,0.7597169510927446
65.0,66.0,0.9324210526315788,-0.308,0.1068421052631579,0.011444444444444412,0.9324210526315788,0.934,0.010574625983052074,0.944,0.896,0.944,0.0118888888888889,0.308,-0.308,0.00838545105964398,-0.292,-0.32,0.32,0.00666666666666667,0.1068421052631579,0.108,0.005479753719924368,0.112,0.092,0.112,0.09971585939490964,-0.23500581927991568,-0.06414265868955477
66.0,67.0,0.9351000000000003,-0.3076,0.10400000000000002,0.004947368421052595,0.9351000000000003,0.934,0.0051565492337414575,0.944,0.924,0.944,0.005894736842105269,0.3076,-0.307,0.006437390775772439,-0.29,-0.32,0.32,0.010526315789473687,0.10400000000000002,0.102,0.008854377448471465,0.126,0.086,0.126,0.0831457471084297,-0.056945072205029965,0.038597108976832294
67.0,68.0,0.9331999999999999,-0.3096,0.10360000000000003,0.01578947368421049,0.9331999999999999,0.937,0.014119490075778207,0.952,0.896,0.952,0.0067368421052631635,0.3096,-0.309,0.006311893535223806,-0.296,-0.324,0.324,0.009157894736842104,0.10360000000000003,0.103,0.0085463442476886,0.116,0.082,0.116,0.12028628387360363,0.5293775415247445,0.22542056179347678
68.0,69.0,0.9328000000000001,-0.31550000000000006,0.10510000000000001,0.009157894736842078,0.9328000000000001,0.934,0.008908422980528012,0.944,0.904,0.944,0.013789473684210539,0.31550000000000006,-0.318,0.008363611660042576,-0.302,-0.328,0.328,0.008315789473684209,0.10510000000000001,0.104,0.007334166619323562,0.12,0.092,0.12,-0.2281677356149241,0.14876976028031633,-0.03505046858457678
69.0,70.0,0.9291,-0.3116,0.10420000000000003,0.013684210526315755,0.9291,0.933,0.0118232821162315,0.944,0.898,0.944,0.011894736842105274,0.3116,-0.308,0.009090654541890817,-0.3,-0.336,0.336,0.005999999999999998,0.10420000000000003,0.102,0.007068238818828916,0.124,0.094,0.124,0.003349417569271819,0.227115586903453,0.07034481076958196
70.0,71.0,0.9336000000000002,-0.3095,0.1065,0.0048421052631578585,0.9336000000000002,0.934,0.005238320341483488,0.946,0.926,0.946,0.005684210526315794,0.3095,-0.307,0.007207634840916963,-0.296,-0.322,0.322,0.007578947368421057,0.1065,0.107,0.0065688659599659974,0.12,0.094,0.12,0.18540148593212072,0.12205816508112101,0.273518428429519
