start,end,name,index
22.0,23.0,a_walk,4
23.0,24.0,a_walk,4
24.0,25.0,a_walk,4
25.0,26.0,a_walk,4
26.0,27.0,a_walk,4
27.0,28.0,a_walk,4
28.0,29.0,a_walk,4
29.0,30.0,p_stand,10
30.0,31.0,p_stand,10
31.0,32.0,a_walk,4
32.0,33.0,a_walk,4
33.0,34.0,a_walk,4
34.0,35.0,a_jump,2
35.0,36.0,a_jump,2
36.0,37.0,p_stand,10
37.0,38.0,p_stand,10
38.0,39.0,p_stand,10
39.0,40.0,a_walk,4
40.0,41.0,a_walk,4
41.0,42.0,a_walk,4
42.0,43.0,a_walk,4
43.0,44.0,a_walk,4
44.0,45.0,a_walk,4
45.0,46.0,a_walk,4
46.0,47.0,a_walk,4
47.0,48.0,p_stand,10
48.0,49.0,p_stand,10
49.0,50.0,p_stand,10
50.0,51.0,p_stand,10
51.0,52.0,p_stand,10
52.0,53.0,p_stand,10
53.0,54.0,p_stand,10
54.0,55.0,t_turn,19
55.0,56.0,p_stand,10
56.0,57.0,p_stand,10
57.0,58.0,p_stand,10
58.0,59.0,t_turn,19
59.0,60.0,a_walk,4
60.0,61.0,p_stand,10
61.0,62.0,p_stand,10
62.0,63.0,p_stand,10
63.0,64.0,p_stand,10
64.0,65.0,t_turn,19
65.0,66.0,t_turn,19
66.0,67.0,a_walk,4
67.0,68.0,a_walk,4
68.0,69.0,t_turn,19
69.0,70.0,t_turn,19
70.0,71.0,t_turn,19
71.0,72.0,t_turn,19
72.0,73.0,t_bend,11
73.0,74.0,p_bent,5
74.0,75.0,p_bent,5
75.0,76.0,p_bent,5
76.0,77.0,p_bent,5
77.0,78.0,t_straighten,18
78.0,79.0,p_stand,10
79.0,80.0,p_stand,10
80.0,81.0,p_stand,10
81.0,82.0,p_stand,10
82.0,83.0,t_stand_sit,17
83.0,84.0,t_stand_sit,17
84.0,85.0,t_stand_sit,17
85.0,86.0,t_stand_sit,17
86.0,87.0,p_squat,9
87.0,88.0,p_squat,9
88.0,89.0,p_squat,9
89.0,90.0,p_stand,10
90.0,91.0,p_stand,10
91.0,92.0,p_stand,10
92.0,93.0,p_stand,10
93.0,94.0,p_stand,10
94.0,95.0,t_stand_sit,17
95.0,96.0,t_stand_sit,17
96.0,97.0,t_stand_sit,17
97.0,98.0,p_sit,8
98.0,99.0,t_sit_lie,14
99.0,100.0,t_sit_lie,14
100.0,101.0,t_sit_lie,14
101.0,102.0,t_sit_lie,14
102.0,103.0,p_lie,7
103.0,104.0,p_lie,7
104.0,105.0,p_lie,7
105.0,106.0,p_lie,7
106.0,107.0,p_lie,7
107.0,108.0,p_lie,7
108.0,109.0,p_lie,7
109.0,110.0,p_lie,7
110.0,111.0,p_lie,7
111.0,112.0,p_lie,7
112.0,113.0,p_lie,7
113.0,114.0,p_lie,7
114.0,115.0,t_lie_sit,13
115.0,116.0,t_lie_sit,13
116.0,117.0,t_lie_sit,13
117.0,118.0,p_sit,8
118.0,119.0,p_sit,8
119.0,120.0,p_sit,8
120.0,121.0,p_sit,8
121.0,122.0,t_sit_stand,15
122.0,123.0,p_stand,10
123.0,124.0,p_stand,10
124.0,125.0,p_stand,10
125.0,126.0,p_stand,10
126.0,127.0,p_stand,10
127.0,128.0,p_stand,10
128.0,129.0,t_bend,11
129.0,130.0,p_bent,5
130.0,131.0,p_bent,5
131.0,132.0,p_bent,5
132.0,133.0,t_straighten,18
133.0,134.0,t_straighten,18
134.0,135.0,p_stand,10
135.0,136.0,p_stand,10
136.0,137.0,p_stand,10
137.0,138.0,p_stand,10
138.0,139.0,t_stand_kneel,16
139.0,140.0,t_stand_kneel,16
140.0,141.0,p_squat,9
141.0,142.0,p_squat,9
142.0,143.0,p_squat,9
143.0,144.0,p_squat,9
144.0,145.0,t_kneel_stand,12
145.0,146.0,p_stand,10
146.0,147.0,p_stand,10
147.0,148.0,p_stand,10
148.0,149.0,p_stand,10
149.0,150.0,p_stand,10
150.0,151.0,p_stand,10
151.0,152.0,t_stand_sit,17
152.0,153.0,t_stand_sit,17
153.0,154.0,t_stand_sit,17
154.0,155.0,p_sit,8
155.0,156.0,p_sit,8
156.0,157.0,p_sit,8
157.0,158.0,t_sit_lie,14
158.0,159.0,t_sit_lie,14
159.0,160.0,t_sit_lie,14
160.0,161.0,t_sit_lie,14
161.0,162.0,p_lie,7
162.0,163.0,p_lie,7
163.0,164.0,p_lie,7
164.0,165.0,p_lie,7
165.0,166.0,p_lie,7
166.0,167.0,p_lie,7
167.0,168.0,p_lie,7
168.0,169.0,p_lie,7
169.0,170.0,p_lie,7
170.0,171.0,p_lie,7
171.0,172.0,p_lie,7
172.0,173.0,p_lie,7
173.0,174.0,p_lie,7
174.0,175.0,p_lie,7
175.0,176.0,p_lie,7
176.0,177.0,p_lie,7
177.0,178.0,t_lie_sit,13
178.0,179.0,t_lie_sit,13
179.0,180.0,t_lie_sit,13
180.0,181.0,t_sit_stand,15
181.0,182.0,t_sit_stand,15
182.0,183.0,t_sit_stand,15
183.0,184.0,p_stand,10
184.0,185.0,p_stand,10
185.0,186.0,p_stand,10
186.0,187.0,p_stand,10
187.0,188.0,p_stand,10
188.0,189.0,p_bent,5
189.0,190.0,t_bend,11
190.0,191.0,t_bend,11
191.0,192.0,p_bent,5
192.0,193.0,p_bent,5
193.0,194.0,p_bent,5
194.0,195.0,p_bent,5
195.0,196.0,t_straighten,18
196.0,197.0,p_stand,10
197.0,198.0,p_stand,10
198.0,199.0,p_stand,10
199.0,200.0,p_stand,10
200.0,201.0,t_stand_kneel,16
201.0,202.0,t_stand_kneel,16
202.0,203.0,t_stand_kneel,16
203.0,204.0,p_bent,5
204.0,205.0,p_bent,5
205.0,206.0,p_bent,5
206.0,207.0,t_kneel_stand,12
207.0,208.0,p_stand,10
208.0,209.0,p_stand,10
209.0,210.0,p_stand,10
210.0,211.0,p_stand,10
211.0,212.0,t_stand_sit,17
212.0,213.0,t_stand_sit,17
213.0,214.0,p_sit,8
214.0,215.0,p_sit,8
215.0,216.0,p_sit,8
216.0,217.0,p_sit,8
217.0,218.0,t_sit_lie,14
218.0,219.0,t_sit_lie,14
219.0,220.0,p_lie,7
220.0,221.0,p_lie,7
221.0,222.0,p_lie,7
222.0,223.0,p_lie,7
223.0,224.0,p_lie,7
224.0,225.0,p_lie,7
225.0,226.0,p_lie,7
226.0,227.0,p_lie,7
227.0,228.0,p_lie,7
228.0,229.0,p_lie,7
229.0,230.0,p_lie,7
230.0,231.0,p_lie,7
231.0,232.0,p_lie,7
232.0,233.0,p_lie,7
233.0,234.0,p_lie,7
234.0,235.0,t_lie_sit,13
235.0,236.0,t_lie_sit,13
236.0,237.0,t_lie_sit,13
237.0,238.0,p_sit,8
238.0,239.0,t_sit_stand,15
239.0,240.0,t_sit_stand,15
240.0,241.0,t_sit_stand,15
241.0,242.0,p_stand,10
242.0,243.0,p_stand,10
243.0,244.0,p_stand,10
244.0,245.0,p_stand,10
245.0,246.0,p_stand,10
246.0,247.0,p_stand,10
247.0,248.0,p_stand,10
248.0,249.0,p_stand,10
249.0,250.0,t_bend,11
250.0,251.0,p_bent,5
251.0,252.0,p_bent,5
252.0,253.0,p_bent,5
253.0,254.0,p_bent,5
254.0,255.0,t_straighten,18
255.0,256.0,p_stand,10
256.0,257.0,p_stand,10
257.0,258.0,p_stand,10
258.0,259.0,p_stand,10
259.0,260.0,t_bend,11
260.0,261.0,t_bend,11
261.0,262.0,t_stand_kneel,16
262.0,263.0,p_bent,5
263.0,264.0,p_bent,5
264.0,265.0,p_bent,5
265.0,266.0,t_straighten,18
266.0,267.0,t_straighten,18
267.0,268.0,p_stand,10
268.0,269.0,p_stand,10
