start,end,location_idx,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height,x_mean,y_mean,z_mean,target_vector
22.0,23.0,3,,,,,,,,,,,,,,,,,,,,-0.878,0.298,0.25,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23.0,24.0,3,158.182,167.715,8.85,6.707,-12.095,-434.396,2620.908,83.137,30.513,180.882,62.429,121.357,7.326,2.207,569.944,-1128.027,60.0,42.989,95.088,-0.856,0.336,0.169,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24.0,25.0,7,154.861,186.328,8.307,3.226,-38.784,-470.95,2030.119,57.894,11.716,121.229,89.0,113.0,21.088,3.238,627.119,-818.019,60.0,120.534,70.331,-0.924,0.322,-0.057,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25.0,26.0,3,222.417,188.76,29.837,5.186,395.586,-442.048,1834.851,178.03,31.117,61.836,93.069,107.897,27.904,2.203,620.314,-707.351,60.0,194.785,33.619,-0.942,0.282,0.082,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26.0,27.0,6,280.927,181.75,5.448,4.291,870.813,-445.087,2055.29,89.603,56.389,214.064,26.333,80.429,10.553,11.729,206.278,-586.717,60.0,56.31,40.71,-0.875,0.42,0.074,"[0.0, 0.0, 0.0, 0.0, 0.85, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15]"
27.0,28.0,5,,,,,,,,,,,,,,,,,,,,-0.903,-0.04,0.432,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
28.0,29.0,5,,,,,,,,,,,,,,,,,,,,-0.706,0.257,0.374,"[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
29.0,30.0,5,,,,,,,,,,,,,,,,,,,,-0.685,0.683,-0.014,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.95, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05]"
30.0,31.0,5,,,,,,,,,,,,,,,,,,,,-0.619,0.667,0.044,"[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31.0,32.0,5,289.988,56.327,8.028,8.953,1003.609,491.205,2199.809,76.806,70.98,38.872,65.714,149.571,18.71,8.567,528.945,-1145.034,60.0,137.207,51.971,-0.432,0.719,-0.6,"[0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
