start,end,x_mean,y_mean,z_mean,label
80.0,81.0,0.922,-0.434,0.267,p_squat
81.0,82.0,0.94,-0.33,0.22,p_squat
82.0,83.0,0.943,-0.247,0.264,p_squat
83.0,84.0,0.912,-0.172,0.378,p_squat
84.0,85.0,0.906,-0.127,0.45,p_squat
85.0,86.0,0.868,-0.255,0.412,p_squat
86.0,87.0,0.934,-0.104,0.228,p_squat
87.0,88.0,0.962,-0.098,-0.002,p_squat
88.0,89.0,0.919,-0.404,0.074,p_squat
89.0,90.0,0.935,-0.216,0.258,p_squat
90.0,91.0,0.92,-0.09,0.334,p_squat
91.0,92.0,0.924,-0.288,0.243,p_squat
92.0,93.0,0.952,-0.264,0.213,p_squat
93.0,94.0,0.991,-0.302,0.219,p_squat
94.0,95.0,0.877,-0.504,0.249,p_squat
95.0,96.0,0.416,-0.666,0.681,p_squat
96.0,97.0,0.402,-0.658,0.516,p_squat
97.0,98.0,0.959,-0.477,0.285,p_squat
98.0,99.0,0.943,-0.325,0.229,p_squat
99.0,100.0,0.922,-0.42,0.188,p_squat
100.0,101.0,1.026,-0.232,0.163,p_squat
101.0,102.0,0.689,-0.528,0.474,p_squat
102.0,103.0,-0.056,-0.854,0.121,p_squat
103.0,104.0,0.67,-0.632,0.162,p_squat
104.0,105.0,1.105,-0.305,0.194,p_squat
105.0,106.0,0.881,-0.386,0.394,p_squat
106.0,107.0,0.004,-0.487,0.836,p_squat
107.0,108.0,-0.453,0.174,0.922,p_squat
108.0,109.0,-0.314,-0.48,0.887,p_squat
109.0,110.0,-0.443,-0.192,0.898,p_squat
110.0,111.0,-0.479,-0.22,0.901,p_squat
111.0,112.0,-0.494,-0.157,0.851,p_squat
112.0,113.0,-0.228,-0.004,0.807,p_squat
113.0,114.0,1.171,-0.267,0.24,p_squat
114.0,115.0,0.911,-0.253,0.288,p_squat
115.0,116.0,0.933,-0.23,0.356,p_squat
116.0,117.0,0.886,-0.097,0.447,p_squat
117.0,118.0,0.959,-0.305,0.212,p_squat
118.0,119.0,0.906,-0.371,0.189,p_squat
119.0,120.0,0.958,-0.324,0.192,p_squat
120.0,121.0,0.997,-0.391,0.087,p_squat
121.0,122.0,1.017,-0.261,0.352,p_squat
122.0,123.0,1.012,-0.443,0.07,p_squat
123.0,124.0,0.939,-0.36,0.213,p_squat
124.0,125.0,0.906,-0.358,0.293,p_squat
125.0,126.0,0.908,-0.341,0.251,p_squat
126.0,127.0,0.834,-0.475,0.263,p_squat
127.0,128.0,0.712,-0.649,0.186,p_squat
128.0,129.0,0.923,-0.242,0.213,p_squat
129.0,130.0,0.956,-0.248,0.044,p_squat
