start,end,x_mean,y_mean,z_mean,location,location_idx,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height,room,label
80.0,81.0,0.922,-0.434,0.267,hall,3,172.98,191.099,34.057,21.616,62.234,-555.064,2137.732,267.478,251.802,294.698,63.643,82.571,43.151,53.858,436.548,-578.419,60.0,299.842,356.748,hallway,a_walk
81.0,82.0,0.94,-0.33,0.22,hall,3,206.424,175.354,2.016,0.734,310.818,-370.61,1909.203,13.856,6.447,9.685,87.0,120.286,2.0,0.958,593.8,-816.859,60.0,11.707,8.65,hallway,a_walk
82.0,83.0,0.943,-0.247,0.264,hall,3,228.48,173.877,14.942,3.277,455.104,-358.612,1897.913,95.776,22.642,16.914,75.897,124.31,10.233,1.684,522.181,-838.401,60.0,67.922,10.043,hallway,p_stand
83.0,84.0,0.912,-0.172,0.378,hall,3,277.777,176.992,5.169,2.937,886.623,-426.731,2141.463,107.399,29.866,194.524,20.724,67.69,12.415,33.595,172.267,-498.237,60.0,76.586,209.583,hallway,p_stand
84.0,85.0,0.906,-0.127,0.45,hall,3,280.457,174.848,0.154,0.433,1007.573,-458.78,2385.333,1.422,3.769,2.783,9.0,27.0,0.0,2.0,100.634,-237.096,60.0,0.088,16.473,hallway,p_stand
85.0,86.0,0.868,-0.255,0.412,living,5,280.328,175.196,0.167,0.207,1007.671,-462.232,2388.122,1.519,1.697,1.421,9.0,25.0,0.0,0.0,100.722,-220.825,60.0,0.045,0.125,hallway,a_walk
86.0,87.0,0.934,-0.104,0.228,living,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,a_walk
87.0,88.0,0.962,-0.098,-0.002,living,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,t_turn
88.0,89.0,0.919,-0.404,0.074,living,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,p_stand
89.0,90.0,0.935,-0.216,0.258,living,5,276.054,62.155,13.894,11.189,866.703,432.054,2117.919,143.484,101.419,102.429,62.926,149.741,27.592,26.878,482.529,-1097.79,60.0,180.691,182.027,living_room,p_stand
