start,end,location_idx,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height,x_mean,y_mean,z_mean,x_average_jerk,x_average_absolute_value,x_median,x_std_dev,x_max_value,x_min_value,x_max_absolute_value,y_average_jerk,y_average_absolute_value,y_median,y_std_dev,y_max_value,y_min_value,y_max_absolute_value,z_average_jerk,z_average_absolute_value,z_median,z_std_dev,z_max_value,z_min_value,z_max_absolute_value,xy_corr,xz_corr,yz_corr,target_vector
28.0,29.0,7,-74.4,-83.12,-74.75,,176.606,175.811,2.026,3.06,161.858,-542.14,2773.016,22.49,18.881,55.768,58.31,107.828,6.503,2.901,569.182,-1061.903,60.0,56.11,47.802,0.8558999999999999,-0.4939,0.0794,0.0642105263157894,0.8558999999999999,0.823,0.1388992080610973,1.106,0.62,1.106,0.0525263157894737,0.4939,-0.496,0.076711081337705,-0.36,-0.64,0.64,0.0646315789473684,0.1702,0.091,0.1822032930547634,0.384,-0.178,0.384,0.5668088719942008,0.570436264150315,0.5432963926128386,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29.0,30.0,7,-78.3,-77.0,-83.05,,170.374,190.272,2.718,5.377,88.082,-599.717,2441.815,19.624,19.39,107.775,74.474,98.684,9.011,3.45,637.836,-860.081,60.0,50.352,65.706,0.9296,-0.3738,0.1636,0.0865263157894736,0.9296,0.904,0.1382079592498203,1.212,0.72,1.212,0.0588421052631579,0.3738,-0.365,0.1192122476929279,-0.206,-0.544,0.544,0.0490526315789473,0.1662,0.154,0.1256878673540131,0.408,-0.024,0.408,0.0260426000411208,0.1919767302276629,-0.4420933248942403,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30.0,31.0,7,-92.25,-70.85,-93.62,,,,,,,,,,,,,,,,,,,,,0.8325000000000001,-0.5213,0.1337,0.1065263157894737,0.8325000000000001,0.763,0.2146232745999371,1.294,0.558,1.294,0.1018947368421052,0.5213,-0.539,0.128427839661033,-0.232,-0.834,0.834,0.0928421052631578,0.3123,0.089,0.3433425548923407,0.652,-0.356,0.652,0.399993056091572,-0.5881593118191681,0.0566917925641922,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31.0,32.0,7,-104.0,-69.8,-94.89,,,,,,,,,,,,,,,,,,,,,0.7051000000000001,-0.5793,0.4757,0.0832631578947368,0.7051000000000001,0.692,0.1018105593737702,0.992,0.51,0.992,0.0976842105263158,0.5793,-0.592,0.0948836656121589,-0.37,-0.784,0.784,0.1038947368421052,0.4757,0.507,0.1498042389253388,0.732,0.096,0.732,-0.6729257719203107,0.1050725427605094,-0.0967069359334538,"[0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]"
32.0,33.0,5,-99.29,-75.25,-92.53,,,,,,,,,,,,,,,,,,,,,0.7277000000000001,-0.5420999999999999,0.47,0.0982105263157894,0.7277000000000001,0.734,0.1157294690215072,0.92,0.466,0.92,0.0945263157894737,0.5420999999999999,-0.546,0.113401014104813,-0.334,-0.826,0.826,0.1349473684210526,0.47,0.479,0.1297397394786963,0.688,0.064,0.688,0.4907230214387461,0.3419046790179194,0.2306999334767178,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
33.0,34.0,5,-96.38,-74.35,-88.85,,,,,,,,,,,,,,,,,,,,,0.4296999999999999,-0.8421000000000001,0.1987,0.0801052631578947,0.4296999999999999,0.43,0.1556859338540255,0.706,0.162,0.706,0.1574736842105263,0.8421000000000001,-0.871,0.174357649674455,-0.434,-1.134,1.134,0.1111578947368421,0.2787,0.199,0.281164204691849,0.786,-0.398,0.786,0.3888361380911121,0.1799272132002269,0.5216776254551891,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]"
34.0,35.0,5,-99.55,-71.75,-92.1,,,,,,,,,,,,,,,,,,,,,0.6403999999999999,-0.7455,-0.1448999999999999,0.0561052631578947,0.6403999999999999,0.656,0.0865207489565364,0.83,0.432,0.83,0.1228421052631579,0.7455,-0.728,0.1106867200706571,-0.57,-0.956,0.956,0.0992631578947368,0.1448999999999999,-0.137,0.1024099116296855,-0.018,-0.48,0.48,-0.2359894839396632,-0.1095684202329952,0.2721778951620749,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
35.0,36.0,5,-96.75,-70.9,-89.25,,,,,,,,,,,,,,,,,,,,,0.6433,-0.7558,0.1079,0.0587368421052631,0.6433,0.636,0.0677414939309726,0.792,0.518,0.792,0.2122105263157895,0.7558,-0.755,0.1589011013177693,-0.456,-1.236,1.236,0.1724210526315789,0.1487,0.075,0.1616768072421026,0.402,-0.104,0.402,0.2989670017986911,0.0740059434674947,0.2058735615688892,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
36.0,37.0,5,-93.94,-72.55,-88.9,,,,,,,,,,,,,,,,,,,,,0.7885,-0.6214,0.0197,0.0194736842105263,0.7885,0.746,0.1163990979346489,0.944,0.656,0.944,0.0536842105263157,0.6214,-0.588,0.0965776371630617,-0.506,-0.882,0.882,0.0343157894736842,0.0566999999999999,0.006,0.072678126007761,0.134,-0.158,0.158,0.7277021506594542,0.7538297919802046,0.5021711042915928,"[0.0, 0.0, 0.0, 0.0, 0.35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
37.0,38.0,5,-92.23,-73.4,-88.12,,,,,,,,,,,,,,,,,,,,,0.8992000000000001,-0.3743,0.2129,0.0362105263157894,0.8992000000000001,0.892,0.0639324643667049,0.998,0.792,0.998,0.0321052631578947,0.3743,-0.383,0.0740115531521937,-0.232,-0.464,0.464,0.0346315789473684,0.2129,0.2229999999999999,0.1157056178411402,0.39,0.024,0.39,0.0461901868065215,-0.2319318529579845,-0.4248855841584499,"[0.0, 0.0, 0.0, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45]"
38.0,39.0,5,,-70.2,-92.64,,290.541,61.737,5.65,6.766,1060.645,470.715,2312.72,97.451,45.02,124.766,46.8,137.7,8.761,11.354,401.963,-1104.766,60.0,54.625,66.575,0.9761,-0.3344,0.1716,0.0892631578947368,0.9761,0.951,0.1173856464820124,1.23,0.818,1.23,0.0657894736842105,0.3344,-0.352,0.0996305174130898,-0.17,-0.498,0.498,0.043578947368421,0.1851999999999999,0.143,0.1535820301988484,0.412,-0.066,0.412,0.1518948893101075,0.0007676808193137,0.0364697293277836,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39.0,40.0,7,,-69.1,-93.0,,233.145,63.321,27.357,5.4,549.99,424.73,2134.58,210.921,45.256,27.072,73.6,155.133,6.716,11.546,565.017,-1152.934,60.0,47.165,73.319,0.963,-0.2855,0.2004,0.1103157894736842,0.963,0.872,0.1883618857412507,1.31,0.732,1.31,0.0477894736842105,0.2855,-0.294,0.0882561612580107,-0.144,-0.394,0.394,0.0310526315789473,0.2004,0.199,0.0842985171874333,0.352,0.076,0.352,-0.1472380728692182,0.0824378546945741,-0.7851219285183221,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40.0,41.0,5,,-70.9,,,140.252,81.818,24.435,3.095,-134.841,266.82,1990.273,169.004,26.088,37.604,70.8,181.867,11.092,9.419,488.314,-1263.715,60.0,67.35,45.302,0.9652,-0.3408000000000001,0.1209,0.1334736842105263,0.9652,0.899,0.2523302597787273,1.544,0.63,1.544,0.0812631578947368,0.3408000000000001,-0.275,0.1794874926004595,-0.074,-0.686,0.686,0.0557894736842105,0.1739,0.14,0.1758265907080041,0.414,-0.164,0.414,0.1004271888460926,0.0602285028411452,-0.8883795336274979,"[0.0, 0.0, 0.35, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41.0,42.0,5,,-71.3,,,105.547,92.881,2.395,12.15,-359.767,177.21,1886.6,7.951,75.067,65.734,78.852,183.963,2.978,12.7,509.285,-1213.315,60.0,15.398,60.632,0.8132000000000001,-0.2266,0.1675,0.2838947368421053,0.8610000000000001,0.7789999999999999,0.7417429204245901,2.16,-0.392,2.16,0.0845263157894736,0.2296,-0.239,0.1400229981110246,0.03,-0.424,0.424,0.096,0.1837,0.183,0.1269470362001413,0.47,-0.148,0.47,-0.431001539440164,-0.321719791094796,-0.2884925132926977,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
42.0,43.0,5,,-70.25,,,107.824,98.791,2.907,5.02,-343.63,139.452,1879.175,15.96,32.047,20.247,74.667,184.583,1.599,9.643,481.288,-1213.728,60.0,8.805,50.709,1.19,-0.2583,0.1067999999999999,0.2585263157894736,1.19,0.886,0.7116802652877203,3.074,0.528,3.074,0.0941052631578947,0.2583,-0.229,0.111544206483349,-0.104,-0.526,0.526,0.0802105263157894,0.135,0.119,0.109497762534218,0.296,-0.282,0.296,-0.0662250900963961,-0.4956408354594626,-0.5773089710774097,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
43.0,44.0,5,,-71.1,,,112.113,98.607,3.026,11.37,-318.924,141.096,1901.724,13.598,72.188,41.502,73.769,181.538,5.577,12.968,480.682,-1207.51,60.0,26.49,62.773,0.9471,-0.1046,0.1573,0.4365263157894737,0.9801000000000002,0.758,0.8885427339188589,3.15,-0.248,3.15,0.0974736842105263,0.1307999999999999,-0.098,0.1139282230178281,0.21,-0.32,0.32,0.1585263157894736,0.2003,0.159,0.1713794328383659,0.566,-0.43,0.566,-0.597916460999208,-0.2860232230574984,-0.0511868036900484,"[0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
