start,end,location_idx,AP_vector,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_std_width,3d_shape_std_height,x_mean,y_mean,z_mean,x_average_jerk,x_average_absolute_value,x_median,x_std_dev,x_max_value,x_min_value,x_max_absolute_value,y_average_jerk,y_average_absolute_value,y_median,y_std_dev,y_max_value,y_min_value,y_max_absolute_value,z_average_jerk,z_average_absolute_value,z_median,z_std_dev,z_max_value,z_min_value,z_max_absolute_value,xy_corr,xz_corr,yz_corr,target_vector
28.0,29.0,7,"[0.32968, 0.5207, 0.0, 0.33735]",0.52772,0.79368,0.05904,0.08076,0.535,0.18223,0.25417,0.0973,0.06411,0.17599,0.44951,0.49499,0.24771,0.05196,0.4063,0.67154,0.17849,0.11397,0.84104,0.30454,0.49263,0.06942,0.71952,0.84777,0.15292,0.49556,0.87388,0.35176,0.05525,0.47149,0.30267,0.08675,0.23994,0.71286,0.15709,0.05289,0.16714,0.49488,0.17384,0.29663,0.64076,0.12156,0.78362,0.78543,0.78049,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29.0,30.0,7,"[0.41512, 0.38664, 0.0, 0.51917]",0.50469,0.88173,0.07886,0.14116,0.50257,0.14486,0.20039,0.08503,0.06581,0.33917,0.59081,0.44633,0.34285,0.06161,0.46429,0.74237,0.16028,0.15628,0.87611,0.37025,0.53788,0.09321,0.7814,0.88716,0.15216,0.52172,0.9121,0.38538,0.06178,0.35708,0.37426,0.13426,0.30274,0.73264,0.13368,0.04039,0.16324,0.52859,0.12023,0.30266,0.68887,0.12909,0.51351,0.59639,0.28279,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30.0,31.0,7,"[0.7207, 0.25192, 0.0, 0.75071]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82991,0.28955,0.52181,0.11452,0.69988,0.81858,0.23573,0.54196,0.85019,0.41138,0.10624,0.49759,0.27917,0.14456,0.29214,0.6729,0.20441,0.07554,0.30585,0.49381,0.32669,0.364,0.58516,0.2057,0.7003,0.20671,0.53471,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31.0,32.0,7,"[0.97809, 0.22892, 0.0, 0.77853]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76929,0.25781,0.70563,0.08973,0.59293,0.78405,0.11235,0.46743,0.83184,0.31561,0.10189,0.55285,0.2502,0.10706,0.23587,0.6832,0.19221,0.08442,0.46536,0.71748,0.1431,0.38411,0.72635,0.23081,0.16437,0.55298,0.45723,"[0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]"
32.0,33.0,5,"[0.87492, 0.3483, 0.0, 0.72683]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78005,0.27817,0.70256,0.10566,0.6119,0.80448,0.12757,0.44966,0.81503,0.29277,0.09863,0.51741,0.27534,0.12776,0.25055,0.67455,0.20246,0.10935,0.45979,0.70249,0.12407,0.37305,0.71636,0.217,0.74562,0.67128,0.6226,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
33.0,34.0,5,"[0.81117, 0.32859, 0.0, 0.64622]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63826,0.11403,0.55675,0.08636,0.36173,0.65662,0.17127,0.39685,0.69885,0.2249,0.16365,0.80319,0.09773,0.1959,0.20977,0.61111,0.27758,0.09025,0.27306,0.55267,0.26771,0.39768,0.57204,0.24777,0.69472,0.59037,0.76957,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]"
34.0,35.0,5,"[0.88061, 0.27163, 0.0, 0.71742]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73851,0.16688,0.37207,0.06079,0.53861,0.76654,0.09563,0.42745,0.80203,0.26423,0.12788,0.71117,0.17588,0.12473,0.15432,0.64778,0.23417,0.0807,0.14245,0.37288,0.09815,0.19557,0.54642,0.1517,0.38262,0.44577,0.64355,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
35.0,36.0,5,"[0.81928, 0.25301, 0.0, 0.65498]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73989,0.16125,0.50794,0.06359,0.54105,0.75682,0.07509,0.41807,0.8349,0.25218,0.22018,0.72098,0.16112,0.17863,0.2008,0.5901,0.30246,0.13944,0.14615,0.48632,0.15437,0.30115,0.66388,0.12721,0.64983,0.53747,0.61006,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
36.0,37.0,5,"[0.75772, 0.28916, 0.0, 0.64732]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80897,0.23478,0.46054,0.02175,0.66294,0.81032,0.12831,0.45558,0.88764,0.30038,0.05645,0.59295,0.25239,0.10896,0.18041,0.66302,0.21612,0.02855,0.05635,0.4494,0.06994,0.23378,0.64701,0.0506,0.86399,0.87704,0.75972,"[0.0, 0.0, 0.0, 0.0, 0.35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
37.0,38.0,5,"[0.72026, 0.30778, 0.0, 0.63023]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86164,0.36997,0.56438,0.03959,0.75587,0.88133,0.07092,0.46891,0.93962,0.31751,0.03416,0.35756,0.36442,0.08373,0.29214,0.74912,0.11417,0.02881,0.20882,0.56551,0.11076,0.29814,0.70386,0.12344,0.52357,0.38465,0.29148,"[0.0, 0.0, 0.0, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45]"
38.0,39.0,5,"[0.0, 0.23768, 0.0, 0.72924]",0.94862,0.09909,0.16285,0.17736,0.93006,0.83965,0.17943,0.41828,0.15149,0.39249,0.3489,0.65396,0.33337,0.20046,0.26507,0.6565,0.17379,0.15834,0.89823,0.3918,0.54218,0.09612,0.82043,0.91002,0.12939,0.52617,0.94955,0.39109,0.06895,0.31955,0.38136,0.11237,0.31742,0.74211,0.12246,0.03599,0.18178,0.52271,0.14669,0.30367,0.67575,0.13035,0.57637,0.50088,0.5245,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39.0,40.0,7,"[0.0, 0.21358, 0.0, 0.73713]",0.73658,0.10874,0.78465,0.14176,0.7056,0.80981,0.15051,0.90416,0.15228,0.08595,0.58317,0.74673,0.25579,0.20383,0.40279,0.6396,0.1502,0.17427,0.892,0.41856,0.55766,0.11856,0.80943,0.8716,0.20701,0.54591,0.91669,0.41646,0.05036,0.27297,0.41306,0.09966,0.32802,0.76354,0.0971,0.02593,0.19662,0.55267,0.08096,0.28858,0.72011,0.11151,0.42695,0.54168,0.10953,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
