start,end,location_idx,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_std_width,3d_shape_std_height,x_mean,y_mean,z_mean,x_average_jerk,x_average_absolute_value,x_median,x_std_dev,x_max_value,x_min_value,x_max_absolute_value,y_average_jerk,y_average_absolute_value,y_median,y_std_dev,y_max_value,y_min_value,y_max_absolute_value,z_average_jerk,z_average_absolute_value,z_median,z_std_dev,z_max_value,z_min_value,z_max_absolute_value,xy_corr,xz_corr,yz_corr,target_vector
48.0,49.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13093,0.59907,0.5522,0.02789,0.76437,0.07463,0.02588,0.01622,0.62262,0.23233,0.02518,0.29448,0.5938,0.02407,0.22148,0.82653,0.08494,0.01626,0.27389,0.56774,0.05132,0.18485,0.70185,0.09232,0.42479,0.70484,0.37454,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49.0,50.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14254,0.59364,0.58246,0.0111,0.74332,0.08757,0.012,0.01462,0.63593,0.21671,0.01209,0.28493,0.58298,0.01932,0.22023,0.82549,0.08348,0.02091,0.32296,0.58978,0.02183,0.19476,0.74707,0.10336,0.64707,0.37863,0.65931,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50.0,51.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22924,0.77396,0.66463,0.13214,0.59094,0.08359,0.26711,0.19127,0.59973,0.25917,0.30768,0.60223,0.73876,0.39308,0.44569,0.76697,0.34848,0.12157,0.4562,0.66775,0.2161,0.30156,0.67642,0.22228,0.15412,0.21408,0.85007,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
51.0,52.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20211,0.76563,0.3114,0.06476,0.63529,0.16319,0.05751,0.05187,0.6272,0.22696,0.17469,0.58758,0.72253,0.25061,0.48265,0.88296,0.39191,0.18467,0.25351,0.28296,0.27245,0.22901,0.46094,0.14149,0.58722,0.18422,0.34029,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52.0,53.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16819,0.65258,0.35714,0.08803,0.6968,0.12986,0.078,0.04666,0.61971,0.23574,0.10082,0.38865,0.65168,0.16716,0.29289,0.79466,0.16888,0.07342,0.0897,0.37845,0.11278,0.14204,0.55207,0.06322,0.81815,0.17712,0.16089,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
53.0,54.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11517,0.49241,0.39631,0.07596,0.79296,0.06219,0.05309,0.01782,0.60972,0.24746,0.13975,0.13176,0.49158,0.13315,0.2331,0.70584,0.09861,0.0967,0.18868,0.37054,0.22511,0.18755,0.53159,0.09533,0.48812,0.51479,0.58138,"[0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7]"
54.0,55.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20832,0.794,0.42162,0.12479,0.62403,0.14229,0.12852,0.09473,0.60473,0.25331,0.23481,0.6375,0.78365,0.23315,0.36888,0.8328,0.25819,0.16525,0.15821,0.42309,0.20853,0.24658,0.54006,0.16106,0.5947,0.68182,0.42098,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4]"
55.0,56.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17574,0.74962,0.31961,0.13972,0.68311,0.11592,0.1089,0.11436,0.61638,0.23965,0.32919,0.55959,0.74038,0.25544,0.38258,0.75756,0.2743,0.1493,0.19019,0.33042,0.22769,0.21864,0.40088,0.17059,0.72866,0.43297,0.36205,"[0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
56.0,57.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16093,0.59966,0.56844,0.09055,0.70997,0.10747,0.10239,0.05307,0.58642,0.27479,0.10171,0.29552,0.60029,0.1633,0.27753,0.76854,0.15083,0.0759,0.40496,0.65645,0.32843,0.26461,0.51958,0.18113,0.32963,0.41026,0.11277,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
57.0,58.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11746,0.60944,0.54481,0.09725,0.7888,0.06468,0.13248,0.04867,0.53649,0.33335,0.07786,0.31273,0.59596,0.12186,0.26923,0.79989,0.14106,0.06004,0.26191,0.56492,0.14106,0.21955,0.65381,0.13096,0.28715,0.31102,0.81325,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
