start,end,location_idx,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_std_width,3d_shape_std_height,x_mean,y_mean,z_mean,x_average_jerk,x_average_absolute_value,x_median,x_std_dev,x_max_value,x_min_value,x_max_absolute_value,y_average_jerk,y_average_absolute_value,y_median,y_std_dev,y_max_value,y_min_value,y_max_absolute_value,z_average_jerk,z_average_absolute_value,z_median,z_std_dev,z_max_value,z_min_value,z_max_absolute_value,xy_corr,xz_corr,yz_corr,target_vector
37.0,38.0,3,0.64168,0.0,0.75965,0.0,0.4452,0.69738,0.0112,0.05317,0.44883,0.13974,0.3135,0.00989,0.04493,0.02495,0.35976,0.45345,0.03451,0.01666,0.27407,0.5469,0.03785,0.02003,0.94643,0.49174,0.55335,0.04853,0.81618,0.94856,0.05508,0.6578,0.95434,0.38326,0.04994,0.11643,0.51722,0.10691,0.30921,0.64984,0.09943,0.06403,0.20674,0.59936,0.12018,0.50822,0.69008,0.1993,0.72295,0.26073,0.13966,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
38.0,39.0,3,0.49019,0.0,0.47519,0.0,0.43895,0.74843,0.04466,0.15314,0.44301,0.09122,0.30886,0.03948,0.13324,0.03948,0.40602,0.4444,0.0989,0.01595,0.30374,0.5595,0.1009,0.02243,0.92877,0.60055,0.46495,0.04033,0.78228,0.92861,0.04356,0.64945,0.95764,0.37346,0.04962,0.29192,0.63805,0.08282,0.3633,0.7439,0.16995,0.10007,0.07927,0.52263,0.0857,0.41312,0.64498,0.08934,0.3262,0.75167,0.47103,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39.0,40.0,3,0.60529,0.0,0.49173,0.0,0.44438,0.75214,0.1305,0.03945,0.4484,0.08931,0.30641,0.11749,0.03537,0.02408,0.43084,0.43997,0.01875,0.01457,0.32008,0.56579,0.02427,0.01574,0.76565,0.69195,0.71849,0.17968,0.46927,0.74149,0.25198,0.68605,0.74255,0.41643,0.20711,0.45395,0.65423,0.30228,0.59601,0.70751,0.47332,0.15098,0.58248,0.8663,0.46774,0.74558,0.58084,0.47372,0.1974,0.11504,0.59624,"[0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40.0,41.0,3,0.60309,0.0,0.42999,0.0,0.56391,0.76532,0.4296,0.07693,0.55691,0.10167,0.27556,0.34168,0.07247,0.21862,0.4768,0.41949,0.12526,0.02277,0.33097,0.61152,0.16888,0.06364,0.72568,0.61754,0.89283,0.07176,0.39258,0.73085,0.06577,0.50949,0.81956,0.20909,0.06484,0.32204,0.64506,0.07622,0.36612,0.71094,0.17362,0.03575,0.80967,0.90114,0.04503,0.73582,0.93395,0.46244,0.51461,0.34876,0.48634,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41.0,42.0,3,0.61742,0.0,0.53142,0.0,0.77237,0.77524,0.59271,0.24659,0.72451,0.12558,0.23605,0.46117,0.19227,0.09081,0.49783,0.392,0.17971,0.0239,0.31231,0.66799,0.16029,0.03014,0.35265,0.77582,0.52314,0.24657,0.44385,0.2666,0.41177,0.47289,0.42844,0.41417,0.50436,0.66651,0.78154,0.4985,0.67376,0.43768,0.57469,0.32035,0.3863,0.57065,0.51265,0.73176,0.47668,0.45774,0.31181,0.84828,0.3009,"[0.0, 0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1]"
42.0,43.0,3,0.77949,0.0,0.77949,0.0,0.92122,0.79171,0.09883,0.19059,0.87217,0.08647,0.2637,0.15846,0.18315,0.24442,0.10487,0.26043,0.40211,0.37111,0.08709,0.758,0.34549,0.3539,0.23132,0.71266,0.25318,0.04792,0.55803,0.23202,0.0437,0.15252,0.52691,0.27921,0.05701,0.49066,0.74701,0.06591,0.42246,0.82423,0.24708,0.03688,0.32837,0.32914,0.04277,0.24079,0.54464,0.19554,0.67354,0.4218,0.38564,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
43.0,44.0,6,0.85667,0.0,0.70849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19741,0.69085,0.45188,0.11921,0.62311,0.19699,0.07511,0.13647,0.49335,0.3252,0.18173,0.452,0.71627,0.14492,0.44444,0.74527,0.27572,0.15956,0.22646,0.53345,0.28618,0.49522,0.55607,0.18426,0.63835,0.71849,0.67876,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9]"
44.0,45.0,5,0.76031,0.0,0.77596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24178,0.75704,0.33268,0.18977,0.53798,0.20674,0.24425,0.32009,0.46529,0.36366,0.19376,0.56933,0.77237,0.31684,0.54698,0.68142,0.40941,0.21203,0.28276,0.41717,0.31516,0.51229,0.49764,0.26508,0.90849,0.57126,0.63263,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
45.0,46.0,5,0.81632,0.0,0.6968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2483,0.75958,0.33152,0.11514,0.52546,0.25729,0.07606,0.16985,0.49665,0.32068,0.11741,0.57383,0.8193,0.16314,0.45852,0.74939,0.29409,0.0964,0.19388,0.41623,0.14774,0.35297,0.48558,0.28294,0.40775,0.46466,0.9193,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6]"
46.0,47.0,5,0.76648,0.0,0.73936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24181,0.61323,0.17846,0.08834,0.53791,0.23069,0.08949,0.21094,0.52195,0.286,0.24937,0.32818,0.6634,0.21451,0.45852,0.63336,0.29409,0.21748,0.46107,0.27123,0.16138,0.29119,0.41381,0.38913,0.18678,0.25384,0.40349,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
