start,end,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height,room
37.0,38.0,153.13,176.854,0.325,1.882,-56.413,-466.854,2341.848,2.551,14.302,7.614,56.111,97.519,1.133,1.032,458.922,-814.77,60.0,9.731,9.023,hallway
38.0,39.0,151.489,185.32,1.391,5.488,-69.204,-531.371,2320.454,11.041,43.057,12.235,60.724,95.828,3.31,0.985,492.595,-793.885,60.0,26.378,10.157,hallway
39.0,40.0,152.915,185.936,4.126,1.387,-57.35,-533.911,2309.181,33.427,11.192,7.339,63.2,95.0,0.6,0.894,511.135,-783.462,60.0,6.145,6.989,hallway
40.0,41.0,184.291,188.121,13.656,2.739,181.364,-517.478,2166.977,97.755,23.271,69.192,67.783,91.174,4.201,1.434,523.496,-707.637,60.0,44.327,29.696,hallway
41.0,42.0,239.012,189.766,18.853,8.859,550.101,-485.684,1984.832,132.042,62.276,28.554,69.88,86.04,6.042,1.509,502.316,-614.004,60.0,42.061,13.816,hallway
42.0,43.0,278.086,192.497,3.117,6.839,874.963,-537.695,2112.279,45.181,59.307,77.395,30.692,61.462,13.561,24.384,246.756,-464.748,60.0,90.961,167.291,hallway
47.0,48.0,289.042,91.746,6.891,2.749,964.747,210.827,2128.318,87.032,22.247,88.018,57.667,170.778,5.077,4.939,454.75,-1271.183,60.0,34.871,37.907,living_room
48.0,49.0,226.237,105.768,31.83,7.107,457.453,98.273,1935.05,233.164,51.893,74.808,88.538,190.538,8.509,4.162,613.565,-1294.812,60.0,62.413,59.26,living_room
49.0,50.0,104.95,131.658,30.34,7.434,-309.441,-65.328,1654.838,158.441,39.794,94.619,92.333,176.037,6.206,13.293,520.971,-1030.15,60.0,34.838,133.639,living_room
50.0,51.0,44.53,143.321,6.85,7.454,-590.004,-119.718,1458.443,28.856,38.906,37.244,71.8,120.9,8.998,21.396,342.782,-624.636,60.0,54.03,115.8,living_room
51.0,52.0,39.052,139.265,2.836,5.835,-596.5,-95.246,1406.809,10.743,29.799,25.023,67.952,110.333,2.011,5.866,309.609,-550.14,60.0,13.296,27.627,living_room
52.0,53.0,46.449,134.318,7.254,4.115,-582.564,-73.584,1463.967,33.124,21.227,32.15,77.348,141.957,11.507,21.206,372.608,-734.176,60.0,61.596,113.67,living_room
53.0,54.0,70.886,131.893,3.394,2.704,-485.135,-64.44,1552.485,21.381,13.01,36.235,98.071,178.143,3.835,2.531,514.225,-974.672,60.0,27.779,32.82,living_room
54.0,55.0,95.436,131.314,12.84,4.168,-345.562,-60.216,1519.31,76.434,21.482,36.043,81.074,184.778,9.607,0.831,420.483,-989.24,60.0,58.42,25.834,living_room
55.0,56.0,153.041,119.451,26.011,3.046,-29.855,3.316,1453.867,132.369,15.358,64.89,80.357,189.714,3.383,4.636,409.451,-972.402,60.0,35.967,64.978,living_room
