start,end,x_mean,y_mean,z_mean,x_average_jerk,x_average_absolute_value,x_median,x_std_dev,x_max_value,x_min_value,x_max_absolute_value,y_average_jerk,y_average_absolute_value,y_median,y_std_dev,y_max_value,y_min_value,y_max_absolute_value,z_average_jerk,z_average_absolute_value,z_median,z_std_dev,z_max_value,z_min_value,z_max_absolute_value,xy_corr,xz_corr,yz_corr
37.0,38.0,0.94643,0.49174,0.55335,0.04853,0.81618,0.94856,0.05508,0.6578,0.95434,0.38326,0.04994,0.11643,0.51722,0.10691,0.30921,0.64984,0.09943,0.06403,0.20674,0.59936,0.12018,0.50822,0.69008,0.1993,0.72295,0.26073,0.13966
38.0,39.0,0.92877,0.60055,0.46495,0.04033,0.78228,0.92861,0.04356,0.64945,0.95764,0.37346,0.04962,0.29192,0.63805,0.08282,0.3633,0.7439,0.16995,0.10007,0.07927,0.52263,0.0857,0.41312,0.64498,0.08934,0.3262,0.75167,0.47103
39.0,40.0,0.76565,0.69195,0.71849,0.17968,0.46927,0.74149,0.25198,0.68605,0.74255,0.41643,0.20711,0.45395,0.65423,0.30228,0.59601,0.70751,0.47332,0.15098,0.58248,0.8663,0.46774,0.74558,0.58084,0.47372,0.1974,0.11504,0.59624
40.0,41.0,0.72568,0.61754,0.89283,0.07176,0.39258,0.73085,0.06577,0.50949,0.81956,0.20909,0.06484,0.32204,0.64506,0.07622,0.36612,0.71094,0.17362,0.03575,0.80967,0.90114,0.04503,0.73582,0.93395,0.46244,0.51461,0.34876,0.48634
41.0,42.0,0.35265,0.77582,0.52314,0.24657,0.44385,0.2666,0.41177,0.47289,0.42844,0.41417,0.50436,0.66651,0.78154,0.4985,0.67376,0.43768,0.57469,0.32035,0.3863,0.57065,0.51265,0.73176,0.47668,0.45774,0.31181,0.84828,0.3009
42.0,43.0,0.23132,0.71266,0.25318,0.04792,0.55803,0.23202,0.0437,0.15252,0.52691,0.27921,0.05701,0.49066,0.74701,0.06591,0.42246,0.82423,0.24708,0.03688,0.32837,0.32914,0.04277,0.24079,0.54464,0.19554,0.67354,0.4218,0.38564
43.0,44.0,0.19741,0.69085,0.45188,0.11921,0.62311,0.19699,0.07511,0.13647,0.49335,0.3252,0.18173,0.452,0.71627,0.14492,0.44444,0.74527,0.27572,0.15956,0.22646,0.53345,0.28618,0.49522,0.55607,0.18426,0.63835,0.71849,0.67876
44.0,45.0,0.24178,0.75704,0.33268,0.18977,0.53798,0.20674,0.24425,0.32009,0.46529,0.36366,0.19376,0.56933,0.77237,0.31684,0.54698,0.68142,0.40941,0.21203,0.28276,0.41717,0.31516,0.51229,0.49764,0.26508,0.90849,0.57126,0.63263
45.0,46.0,0.2483,0.75958,0.33152,0.11514,0.52546,0.25729,0.07606,0.16985,0.49665,0.32068,0.11741,0.57383,0.8193,0.16314,0.45852,0.74939,0.29409,0.0964,0.19388,0.41623,0.14774,0.35297,0.48558,0.28294,0.40775,0.46466,0.9193
46.0,47.0,0.24181,0.61323,0.17846,0.08834,0.53791,0.23069,0.08949,0.21094,0.52195,0.286,0.24937,0.32818,0.6634,0.21451,0.45852,0.63336,0.29409,0.21748,0.46107,0.27123,0.16138,0.29119,0.41381,0.38913,0.18678,0.25384,0.40349
47.0,48.0,0.16977,0.57633,0.27545,0.10969,0.67615,0.18501,0.15564,0.14353,0.42513,0.4187,0.11183,0.25558,0.61594,0.13013,0.36668,0.65258,0.17436,0.10524,0.29327,0.33855,0.17544,0.35622,0.50717,0.25098,0.6479,0.14904,0.17486
48.0,49.0,0.09894,0.5917,0.4633,0.15671,0.81207,0.095,0.09982,0.07804,0.41688,0.43,0.03775,0.27624,0.61054,0.06006,0.34865,0.74733,0.15085,0.06263,0.06562,0.5198,0.07891,0.42043,0.65324,0.0978,0.58183,0.59242,0.94412
49.0,50.0,0.07579,0.66391,0.48743,0.20007,0.85649,0.05776,0.1603,0.09024,0.41083,0.4383,0.08297,0.40424,0.6893,0.06121,0.38189,0.80363,0.19419,0.0358,0.08967,0.53769,0.01982,0.38548,0.70087,0.05739,0.9039,0.76391,0.71427
50.0,51.0,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005
51.0,52.0,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005
52.0,53.0,0.12653,0.5339,0.5201,0.93484,0.85628,0.16329,1.0,0.47803,0.001,1.0,0.17223,0.26441,0.55174,0.30344,0.39316,0.61962,0.20888,0.16331,0.15234,0.56076,0.12478,0.49522,0.66975,0.18426,0.0288,0.1832,0.9066
53.0,54.0,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005
54.0,55.0,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005
55.0,56.0,0.52161,0.43643,0.43751,0.001,0.001,0.51979,0.001,0.33229,0.7299,0.001,0.001,0.001,0.45519,0.001,0.23371,0.6773,0.001,0.001,0.001,0.49438,0.001,0.33671,0.6761,0.001,0.5005,0.5005,0.5005
