start,end,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
7.0,8.0,-91.6,,-83.5,-83.0
8.0,9.0,-91.8,,-80.0,-83.0
9.0,10.0,-91.2,,-80.0,-83.4
10.0,11.0,-91.6,,-80.2,-83.4
11.0,12.0,-89.0,,-82.6,-81.2
12.0,13.0,-86.6,,-86.8,-82.6
13.0,14.0,-85.0,,-86.6,-82.2
14.0,15.0,-85.0,,-86.75,-82.0
15.0,16.0,,,-87.8,-83.2
16.0,17.0,-85.75,,-87.2,-79.8
17.0,18.0,-87.33,,-84.5,-79.2
18.0,19.0,-83.2,,-79.8,-74.6
19.0,20.0,-82.2,,-81.6,-71.8
20.0,21.0,-86.8,,-81.4,-79.8
21.0,22.0,-86.2,,-75.0,-84.6
22.0,23.0,-70.6,,-76.0,-83.6
23.0,24.0,-76.8,,-87.4,-96.0
24.0,25.0,-83.4,,-83.75,-94.25
25.0,26.0,-93.25,,-87.2,-93.6
26.0,27.0,,,-96.5,-91.2
27.0,28.0,-97.5,,-101.5,-94.5
28.0,29.0,-95.6,,-86.6,-93.0
29.0,30.0,-98.0,,-92.2,-89.6
30.0,31.0,-96.0,,-92.5,-89.25
31.0,32.0,-100.5,,-97.5,-96.5
32.0,33.0,,,-92.67,-94.67
33.0,34.0,-95.0,,-96.0,-95.67
34.0,35.0,,,-103.5,-90.2
35.0,36.0,,,,-90.2
36.0,37.0,,,,-84.2
37.0,38.0,,,,-82.8
38.0,39.0,,,,-82.8
39.0,40.0,,,,-90.8
40.0,41.0,,,,-89.4
41.0,42.0,,,,-96.0
42.0,43.0,,,-98.0,-90.5
43.0,44.0,,,,-81.0
44.0,45.0,,,,-80.8
45.0,46.0,,,-101.0,-85.4
46.0,47.0,,,,-93.4
47.0,48.0,-100.5,,-95.0,-91.95
48.0,49.0,-98.67,,-98.0,-87.1
49.0,50.0,,,-95.85,-83.8
50.0,51.0,,,,-92.3
51.0,52.0,,,,-93.19
52.0,53.0,,,,-92.6
53.0,54.0,,,,-90.5
54.0,55.0,,,-100.67,-92.25
55.0,56.0,,,,-88.85
56.0,57.0,,,,-92.62
57.0,58.0,,,-95.0,-98.0
58.0,59.0,,,,-90.31
59.0,60.0,,,-95.0,-88.75
60.0,61.0,,,,-91.25
61.0,62.0,,,,-88.75
62.0,63.0,,,,-84.85
63.0,64.0,-102.0,,,-88.15
64.0,65.0,,,,-86.3
65.0,66.0,,,,-87.3
66.0,67.0,,,,-88.25
67.0,68.0,,,,-86.25
68.0,69.0,,,,-80.0
69.0,70.0,,,,-79.6
70.0,71.0,,,,-86.75
71.0,72.0,,,,-92.95
72.0,73.0,,,,-86.85
73.0,74.0,,,,-87.4
74.0,75.0,,,,-90.75
75.0,76.0,,,,-94.1
76.0,77.0,,,,-93.1
