t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z,room
47.825,285.092651367,122.233093262,307.0,199.0,256.0,78.0,988.1875,-17.640625,2252.75,1176.71203613,-632.382568359,2282.75,748.266601562,327.366638184,2222.75,kitchen
47.841,287.185455322,123.134384155,307.0,201.0,250.0,76.0,1005.1640625,-24.771484375,2253.74609375,1177.22558594,-648.675231934,2283.74609375,701.81427002,343.109222412,2223.74609375,kitchen
47.872,280.001525879,122.914627075,307.0,201.0,246.0,64.0,955.313232422,-23.2028808594,2270.20214844,1185.70825195,-653.349365234,2300.20214844,675.585327148,439.91595459,2240.20214844,kitchen
47.919,285.191314697,120.728034973,307.0,203.0,246.0,60.0,987.266967773,-5.74132537842,2248.87817383,1174.71630859,-663.275146484,2278.87817383,669.154541016,466.851959229,2218.87817383,kitchen
47.95,289.346374512,119.259506226,307.0,203.0,244.0,28.0,1016.66210938,5.82026672363,2241.44384766,1170.8840332,-661.11138916,2271.44384766,651.402893066,713.44128418,2211.44384766,kitchen
47.982,287.789886475,113.512748718,307.0,205.0,246.0,28.0,980.435180664,49.7717437744,2187.90185547,1143.28417969,-661.082641602,2217.90185547,650.76574707,696.167907715,2157.90185547,kitchen
48.013,286.197875977,103.178756714,307.0,205.0,252.0,26.0,935.142089844,124.647476196,2113.15332031,1104.75280762,-638.802612305,2143.15332031,672.053100586,686.662841797,2083.15332031,kitchen
48.044,287.34173584,99.6669387817,307.0,205.0,252.0,26.0,935.195068359,149.325592041,2094.29077148,1095.02954102,-633.180297852,2124.29077148,665.967773438,680.445251465,2064.29077148,kitchen
48.091,285.170715332,97.4407730103,307.0,205.0,252.0,24.0,909.549377441,163.925949097,2072.18725586,1083.63562012,-626.59197998,2102.18725586,658.836914062,687.481933594,2042.18725586,kitchen
48.122,282.812438965,95.3366317749,307.0,205.0,252.0,26.0,890.457763672,178.822937012,2067.64697266,1081.29516602,-625.238708496,2097.64697266,657.372131348,671.662780762,2037.64697266,kitchen
48.169,279.832275391,92.2597045898,307.0,205.0,252.0,24.0,864.942749023,200.227874756,2058.34887695,1076.50219727,-622.467224121,2088.34887695,654.372436523,682.823364258,2028.34887695,kitchen
48.2,277.178894043,91.6935501099,307.0,205.0,250.0,22.0,841.021240234,203.162216187,2046.74169922,1070.5189209,-619.007507324,2076.74169922,636.483703613,693.059997559,2016.74169922,kitchen
48.232,275.010040283,92.2818832397,307.0,205.0,248.0,22.0,821.108825684,197.892181396,2035.9654541,1064.96386719,-615.795471191,2065.96533203,619.014160156,689.356689453,2005.9654541,kitchen
48.247,272.402893066,91.7756347656,307.0,205.0,244.0,20.0,795.096618652,199.648712158,2017.19519043,1055.28833008,-610.200683594,2047.19519043,585.348205566,696.843078613,1987.19519043,kitchen
48.294,269.589477539,92.0148620605,307.0,205.0,240.0,20.0,769.677062988,196.547317505,2002.83508301,1047.88598633,-605.920410156,2032.83508301,553.446044922,691.807495117,1972.83508301,kitchen
48.325,267.862030029,92.3629608154,307.0,209.0,236.0,20.0,753.648925781,193.104309082,1992.53515625,1042.57653809,-631.219726562,2022.53515625,523.028747559,688.195617676,1962.53515625,kitchen
48.341,265.987182617,92.6517944336,307.0,223.0,232.0,20.0,737.65826416,190.340270996,1984.75708008,1038.5670166,-727.703430176,2014.75708008,493.537139893,685.468139648,1954.75708008,kitchen
48.388,260.97946167,93.7223968506,305.0,225.0,214.0,22.0,699.835327148,182.116210938,1976.37036133,1020.17254639,-738.745605469,2006.37036133,368.564697266,668.876647949,1946.37036133,kitchen
48.419,259.271087646,94.4151306152,301.0,227.0,200.0,22.0,687.494995117,177.186187744,1974.93237305,991.318786621,-752.27734375,2004.93237305,272.809204102,668.382507324,1944.93237305,kitchen
48.45,257.21194458,95.072479248,297.0,227.0,192.0,24.0,672.974731445,172.567184448,1974.17028809,962.830200195,-751.991394043,2004.17028809,218.161880493,654.485534668,1944.17028809,kitchen
48.482,250.277496338,95.692779541,291.0,229.0,186.0,24.0,624.445556641,168.131988525,1972.51635742,919.902648926,-765.415100098,2002.51635742,177.105728149,653.928710938,1942.51635742,kitchen
48.513,243.698471069,98.8571929932,285.0,233.0,184.0,26.0,575.337219238,145.334106445,1960.24511719,872.390808105,-788.641296387,1990.24511719,162.449401855,636.260253906,1930.24511719,kitchen
48.544,241.792816162,101.223182678,281.0,235.0,182.0,28.0,561.588623047,128.921417236,1957.98193359,843.514038086,-801.686889648,1987.98193359,148.737426758,621.992675781,1927.98193359,kitchen
48.591,238.373718262,101.038848877,275.0,235.0,180.0,28.0,537.539428711,130.048294067,1955.89428711,800.845031738,-800.845031738,1985.89428711,135.069396973,621.319152832,1925.89428711,kitchen
48.622,235.572875977,101.083831787,269.0,231.0,184.0,28.0,517.956298828,129.646362305,1954.48632812,758.523620605,-772.44140625,1984.48632812,161.964752197,620.864929199,1924.48632812,kitchen
48.669,229.579193115,103.228561401,263.0,229.0,186.0,30.0,473.473266602,114.126480103,1940.53564453,711.731201172,-753.19128418,1970.53564453,174.189941406,602.965026855,1910.53564453,kitchen
48.685,221.108551025,103.943908691,259.0,229.0,186.0,30.0,410.794189453,107.934967041,1917.02490234,675.929138184,-744.204833984,1947.02490234,172.046386719,595.545043945,1887.02490234,kitchen
48.732,217.242156982,104.808082581,253.0,229.0,184.0,30.0,383.53616333,101.789489746,1910.71459961,632.905822754,-741.79284668,1940.71459961,158.280929565,593.553527832,1880.71459961,kitchen
48.747,213.917221069,103.285629272,247.0,229.0,180.0,28.0,360.151855469,111.647247314,1904.86254883,590.287902832,-739.556030273,1934.86254883,131.490371704,604.85559082,1874.86254883,kitchen
48.794,211.046508789,102.493980408,241.0,229.0,178.0,28.0,339.115447998,116.297088623,1894.46679688,546.625610352,-735.582519531,1924.46679688,117.685096741,601.501831055,1864.46679688,kitchen
48.825,207.700256348,102.191543579,237.0,229.0,170.0,26.0,316.107910156,118.015983582,1889.81872559,518.376708984,-733.805908203,1919.81872559,65.2176437378,613.045837402,1859.81872559,kitchen
48.857,201.537414551,101.848999023,235.0,229.0,166.0,26.0,273.548278809,119.534973145,1878.01904297,501.809020996,-729.295715332,1908.01904297,38.8823471069,609.156311035,1848.01904297,kitchen
48.888,196.644744873,102.358573914,233.0,229.0,158.0,26.0,239.797424316,115.442687988,1866.11425781,485.379943848,-724.745422363,1896.11425781,-12.8772697449,605.232177734,1836.11425781,kitchen
48.935,193.470474243,103.346061707,231.0,229.0,156.0,26.0,219.953811646,109.442626953,1874.02392578,474.051208496,-727.768676758,1904.02392578,-25.865486145,607.839416504,1844.02392578,kitchen
48.95,191.696640015,104.157714844,227.0,229.0,150.0,26.0,208.211715698,104.066215515,1873.25708008,447.163970947,-727.475585938,1903.25708008,-64.6368865967,607.586669922,1843.25708008,kitchen
48.982,189.005325317,104.359931946,225.0,229.0,146.0,28.0,191.127548218,103.058547974,1879.10473633,435.148620605,-729.710693359,1909.10473633,-90.7786941528,596.545837402,1849.10473633,kitchen
49.013,182.078125,105.8177948,223.0,229.0,128.0,28.0,144.67678833,92.9352111816,1868.7109375,419.463195801,-725.737915039,1898.7109375,-206.327880859,593.192626953,1838.7109375,kitchen
49.06,179.598434448,106.037857056,219.0,229.0,116.0,30.0,128.346832275,91.4356613159,1867.53662109,392.587677002,-725.2890625,1897.53662109,-283.51965332,579.926574707,1837.53662109,kitchen
49.091,176.221389771,107.913414001,215.0,233.0,112.0,30.0,105.892791748,78.900894165,1861.58935547,364.824523926,-749.548583984,1891.58935547,-308.293121338,578.049621582,1831.58935547,kitchen
49.138,171.920532227,108.381370544,211.0,233.0,114.0,32.0,77.751953125,75.7827606201,1860.03515625,338.013916016,-748.932800293,1890.03515625,-295.196899414,564.72442627,1830.03515625,kitchen
49.169,167.779647827,109.507751465,205.0,235.0,116.0,34.0,50.6087341309,68.2549514771,1855.11621094,297.471374512,-760.204589844,1885.11621094,-281.603240967,550.40637207,1825.11621094,kitchen
49.185,164.203430176,110.781066895,203.0,233.0,118.0,34.0,27.2872314453,59.8461265564,1851.23168945,283.664611816,-745.444396973,1881.23168945,-268.231018066,549.234924316,1821.23168945,kitchen
49.216,154.449798584,115.508735657,201.0,231.0,116.0,36.0,-35.7687950134,28.9443893433,1837.81433105,268.541931152,-727.028015137,1867.81433105,-278.933685303,532.509765625,1807.81433105,kitchen
49.263,149.132354736,116.625785828,203.0,229.0,112.0,38.0,-70.2981796265,21.8263626099,1844.65136719,282.672393799,-716.541687012,1874.65136719,-305.442138672,521.796936035,1814.65136719,kitchen
49.294,145.729507446,117.646842957,201.0,231.0,108.0,40.0,-92.34400177,15.2272109985,1845.33508301,269.623199463,-729.955383301,1875.33508301,-331.020294189,509.261962891,1815.33508301,kitchen
49.341,138.257369995,117.903709412,201.0,231.0,102.0,40.0,-140.050384521,13.5028076172,1836.8671875,268.405761719,-726.659362793,1866.8671875,-367.492706299,506.886413574,1806.8671875,kitchen
49.372,133.936004639,119.007369995,199.0,231.0,98.0,40.0,-167.203887939,6.36782836914,1829.40942383,254.292816162,-723.756469727,1859.40942383,-391.215606689,504.794281006,1799.40942383,kitchen
49.388,130.044891357,118.716621399,193.0,235.0,92.0,40.0,-191.318649292,8.19673919678,1821.34350586,214.237426758,-746.585144043,1851.34350586,-427.151855469,502.531524658,1791.34350586,kitchen
49.419,124.92628479,117.500854492,189.0,235.0,88.0,36.0,-222.707717896,15.8688354492,1810.75231934,187.192230225,-742.314086914,1840.75231934,-449.6043396,524.538391113,1780.75231934,kitchen
49.45,121.260986328,116.958435059,181.0,235.0,82.0,38.0,-244.001434326,19.157585144,1796.17749023,134.479736328,-736.436523438,1826.17749023,-483.084899902,507.858459473,1766.17749023,kitchen
49.482,118.23008728,116.148597717,175.0,235.0,76.0,34.0,-261.18347168,24.0824737549,1783.14880371,95.3716278076,-731.182495117,1813.14880371,-516.407531738,528.702941895,1753.14880371,kitchen
49.529,114.872924805,117.32409668,169.0,235.0,74.0,36.0,-280.317504883,16.6219940186,1771.40771484,56.8524055481,-726.447692871,1801.40771484,-525.16217041,512.949035645,1741.40771484,kitchen
49.56,112.125350952,118.276016235,161.0,235.0,68.0,36.0,-296.378814697,10.6727142334,1765.41601562,6.29594945908,-724.031433105,1795.41601562,-559.868347168,511.184112549,1735.41601562,kitchen
49.591,109.828987122,118.837364197,155.0,235.0,66.0,36.0,-309.939025879,7.18235778809,1761.6875,-31.4142551422,-722.527893066,1791.6875,-570.81036377,510.085876465,1731.6875,kitchen
49.638,106.991989136,117.977226257,149.0,235.0,62.0,38.0,-327.198974609,12.4858474731,1760.25634766,-69.0561828613,-721.950744629,1790.25634766,-594.608337402,497.529418945,1730.25634766,kitchen
