start,end,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height
81.0,82.0,142.749,160.442,0.285,1.266,-168.241,-394.362,2781.179,2.766,10.839,14.803,19.467,118.133,0.991,0.991,186.727,-1163.884,60.0,9.067,11.428
82.0,83.0,143.202,160.981,0.509,0.721,-164.904,-402.332,2799.656,4.844,7.531,7.666,19.867,118.933,0.991,0.359,191.921,-1179.309,60.0,9.83,4.955
83.0,84.0,143.801,161.544,0.246,0.754,-159.571,-409.233,2809.151,2.276,7.06,4.64,19.533,119.0,0.884,0.0,189.372,-1183.917,60.0,8.82,1.936
84.0,85.0,143.828,162.043,0.404,0.606,-159.165,-413.851,2807.09,3.205,6.218,16.265,20.655,118.862,1.492,0.507,200.394,-1181.721,60.0,15.472,9.293
85.0,86.0,145.275,160.737,0.646,0.675,-147.839,-409.011,2863.23,6.363,6.313,5.583,22.533,119.0,1.118,0.0,223.318,-1206.484,60.0,11.106,2.33
86.0,87.0,153.805,170.151,3.986,5.655,-58.719,-455.437,2607.566,38.887,24.366,160.65,46.867,113.0,19.356,3.386,418.565,-1047.272,60.0,150.304,91.974
87.0,88.0,188.553,182.125,11.395,4.864,208.374,-460.598,2122.011,76.132,16.106,103.093,76.067,102.067,6.298,3.568,576.194,-774.201,60.0,65.022,62.786
88.0,89.0,230.602,191.302,14.976,1.353,500.556,-504.283,2016.628,112.401,14.074,27.483,73.733,98.333,11.117,1.66,537.846,-709.304,60.0,71.541,18.113
89.0,90.0,274.239,195.417,5.423,4.332,825.068,-544.262,2058.961,45.086,27.625,21.103,23.5,67.167,11.199,14.843,192.904,-500.247,60.0,78.864,105.887
97.0,98.0,285.189,112.276,6.57,9.569,905.538,52.242,2057.28,94.214,64.145,112.098,60.556,180.889,26.395,21.213,451.321,-1298.389,60.0,164.625,113.145
98.0,99.0,216.236,100.702,28.36,4.341,374.968,128.651,1900.381,188.789,29.119,12.438,72.933,206.0,8.366,5.434,497.188,-1374.366,60.0,59.158,43.196
99.0,100.0,143.763,111.853,12.193,6.482,-108.439,54.29,1903.784,81.191,43.257,13.967,69.138,200.655,2.873,9.204,457.809,-1342.262,60.0,18.525,55.471
100.0,101.0,130.894,108.815,1.378,12.716,-186.777,70.701,1831.001,6.701,79.906,25.749,70.677,207.387,2.277,13.54,448.137,-1332.906,60.0,9.426,69.814
101.0,102.0,128.715,107.23,1.391,8.448,-197.495,79.943,1801.328,6.108,51.822,24.987,69.138,211.414,2.096,10.679,430.779,-1336.546,60.0,12.77,50.0
102.0,103.0,130.797,112.413,0.249,0.578,-187.027,48.59,1826.366,1.506,3.711,2.099,69.533,207.0,1.454,0.0,439.847,-1328.142,60.0,9.294,1.524
103.0,104.0,130.705,112.168,0.279,0.633,-187.943,50.249,1829.545,1.869,4.122,3.048,69.8,207.0,1.222,0.0,442.345,-1330.45,60.0,7.672,2.212
104.0,105.0,130.345,110.334,0.562,0.571,-190.832,62.206,1835.102,3.715,3.736,4.225,69.267,207.0,0.854,0.0,440.346,-1334.483,60.0,5.669,3.067
