features,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,value48,value49,value50,value51,value52,value53,value54,value55,value56,value57,value58,value59,value60,value61,value62,value63,value64,value65,value66,value67,value68,value69,value70,value71,value72,value73,value74,value75,value76,value77,value78,value79,value80,value81,value82,value83,value84,value85,value86,value87,value88,value89,value90,value91,value92,value93,value94,value95,value96,value97,value98,value99,mean
3d_shape_mean_depth,0.0003490468075398259,0.00042088973236111585,0.00038520808909854506,0.0004310189171745788,0.0002928851163082952,0.0006543521143988863,0.0019447301725775607,0.002522216796907239,0.0011351433821675837,0.0013906006242511428,0.0005354079140839557,0.00030195497736351456,0.0008044645558040209,0.0007225020321891004,0.0010081754496632767,0.0013753932409090056,0.0007878884621222737,0.0009320249108520099,0.00043911654011198257,0.0011730051547560484,0.0006374672640571585,0.00094674098862874,0.0006196027950643709,0.00039454275967454414,0.0008264288193951333,0.000900712635448794,0.0019326849055371761,0.0005381630240372231,0.000893754769766287,0.003334686487908891,0.0009215513829354123,0.0007523336829296176,0.0006594033491977266,0.0005287911835220527,0.0006091111874984722,0.0005652251472532174,0.0009511360654555762,0.0007944773967699322,0.0005912693663491125,0.0007850976568629007,0.0009867609210244136,0.000536134048212354,0.0004957052490776902,0.00030451098246969314,0.00031845159903104653,0.0011164887802238873,0.00048233891917609674,0.0014825421665542865,0.00025709765680786414,0.004203536126840711,0.0008616289681824262,0.0017070838697070792,0.0006185269141644088,0.0006879662662725389,0.0005291762809098248,0.0013411224573664656,0.0002485322965557058,0.0011379303347895345,0.0006026825313663897,0.0015934999218217528,0.0009926985398815732,0.00037276071880487524,0.0009509528506855327,0.0010174648765042163,0.0005442818346297696,0.0007571789240145693,0.0005168173525819125,0.0005479581861638856,0.0012311360150080307,0.002894459989451554,0.0005961951643503128,0.00040486020593679154,0.0006439915183604537,0.0006930869530702957,0.0006859559527124753,0.0006310001542160994,0.0007737327362434816,0.0007302679887066759,0.00042185051077761387,0.0014760661036762365,0.00046738289748054547,0.0009820868638229184,0.001479980228321421,0.0008453579407137116,0.0006859831663450125,0.0005753814983334349,0.0017107203362761727,0.0015830895836315504,0.001223913839467972,0.0038414563309984956,0.0011019240013703463,0.00159826397935008,0.0011927131526712033,0.0007855958614440591,0.0006162955270411131,0.0011016319788445836,0.000796001999984429,0.0005680771692477522,0.0005375225250911791,0.0009482527030878667
2d_shape_std_width,0.00650409716470082,0.00624231882550716,0.012208719071999323,0.012496485781035054,0.005380493116934262,0.007102972261076099,0.003460087248590782,0.004385534830065648,0.002347257649515492,0.005211449655007603,0.009506872982342438,0.008474849669378075,0.009069521192846179,0.011836410236263873,0.00947117943326918,0.01176370307544544,0.010784177533449924,0.008576859514178468,0.00866238448403804,0.0014871284308095123,0.008569128915996078,0.005147017070150438,0.008694182788943693,0.00928620917414796,0.0052325078628122496,0.004424492671398336,0.003818010796497351,0.0036068059927960405,0.004798245478823137,0.003910551089100785,0.005636027628498635,0.006281002895155695,0.010289527794991501,0.014645734043265808,0.010145491824205006,0.00805303652589887,0.007876026564558866,0.009196280038231874,0.008231658271038044,0.0024703655193817273,0.005141347420397201,0.009957130960360699,0.0074962967960416176,0.011832995848320997,0.005984337246384565,0.006053882271683722,0.006140525704767042,0.00447753417012031,0.003642200070469564,0.004855726741871136,0.00814616753511818,0.008369310370753448,0.014563538787392591,0.014364489139803026,0.009432816544192844,0.0069525562732451985,0.011794915788282775,0.008074069283036,0.008440922437729753,0.003420010458033707,0.004181867302265424,0.012101095267632313,0.011583754994095696,0.007623384455831481,0.005410944460752098,0.008138818084919328,0.005079368329011909,0.005135163009153908,0.005965510713480037,0.004913234766738025,0.0065667633055902655,0.00945208036473112,0.011110805550159452,0.016262317110510946,0.010317686440804058,0.007505861117523788,0.009547169681670025,0.009894750746714588,0.007612668347802438,0.003252811776260256,0.006603122333317263,0.010470691444835836,0.008747611586859399,0.007758780883636332,0.005575539889752845,0.007693511252087565,0.005003698792722024,0.0049670645438476616,0.004050409559185644,0.005144409167707852,0.007074335221183102,0.0073809257101865085,0.013004670550901511,0.01339020948736439,0.01103808992217118,0.008246743192951211,0.008680919920977151,0.008488062016533186,0.008366106972933898,0.007755217547728806
3d_shape_std_width,0.004036732625261729,0.004018428546608141,0.0095693675128067,0.00746692239783604,0.005940320448725389,0.0076239981037095235,0.006281372625899899,0.005706696407121111,0.0016629230653044933,0.0053569617349369675,0.00867612912109375,0.008742750414360893,0.011160423509505102,0.01918236846904947,0.012040608950082281,0.011755045133940954,0.009094668498692999,0.011322372090649672,0.010474685595994236,0.001554630862207624,0.004213819251026426,0.00622941447387638,0.009666073669396343,0.006524241521288242,0.005761191647241879,0.006460993711560278,0.005838095361326585,0.005413304270085302,0.004943664856225843,0.004613158073846372,0.007214054050173538,0.0076013925081843455,0.013371099400694808,0.01879562873326777,0.011460962040391922,0.00916807508087759,0.00842748132527819,0.010801974663726798,0.009337461516580022,0.00233045379377963,0.00665270691091664,0.005927276841386209,0.011127668871388828,0.005788504680697264,0.0061189463347320495,0.006099255917691255,0.00480788792354066,0.008304803927174153,0.004425268922265893,0.0042199434704951935,0.007014905149873511,0.008012501979259337,0.014492713476630203,0.018590102183031143,0.01086278528598298,0.0076686141906114735,0.011492553695036527,0.010414585131825001,0.009550067919367859,0.002354014363521639,0.005432995644512003,0.009512762236860655,0.009664291722039791,0.006434710094574618,0.0062252149212695205,0.008019127377528228,0.006312844165406844,0.007991198001854596,0.005532010929718637,0.006470556586463374,0.007586721621782281,0.012002126057216862,0.016752387474106525,0.015911014974132026,0.016476923938319715,0.010537961858486482,0.011070078231717044,0.008786288012018102,0.009367184814458451,0.0014611952051789758,0.004261188926619544,0.00824172169136057,0.008854786453856896,0.007549362918991916,0.007332142878512765,0.008526649150365252,0.006726987325702317,0.005142917503666489,0.0068664326401552825,0.004995495892684234,0.006919994995049728,0.007322549932205663,0.017539602228172593,0.01773534859527862,0.01008485505126221,0.009297747553328822,0.008418023708337719,0.009643618055669352,0.008812229350601308,0.008379639413712212
2d_shape_std_height,0.006056728131444603,0.016408843090552783,0.019547511946234022,0.01041429152653085,0.005598841415552982,0.005450427588670598,0.003613113149405035,0.006793622068678151,0.0018008803648728348,0.006526022967652063,0.010621218452225257,0.011224285458238956,0.0110776127867883,0.00972760816521156,0.010219403145008642,0.010317496233734387,0.014268284904217733,0.01186005699863802,0.008883968726315871,0.001989477301726229,0.003524044213749023,0.014456836183114307,0.012907368376274595,0.009972296827291609,0.004797970347063087,0.005957284645334093,0.0028144936723588183,0.003941922888339873,0.008653872946352911,0.007398010093014697,0.009392308096096228,0.009378724832850453,0.009716477912889905,0.008096113425065787,0.014497528955493636,0.013118946165231864,0.013521335535129731,0.012533308330011624,0.00800684595881315,0.0012387014242702789,0.004279139208654756,0.009229378941872063,0.010966725592613278,0.006092761909318948,0.005963548752347709,0.006661311399219444,0.003338415575576165,0.004348013364134848,0.004174051582345788,0.007931685129741618,0.009313103485044381,0.008423716715461497,0.012145831734767354,0.007079287413407506,0.012451459432238257,0.010734268247514967,0.017578872178839376,0.01409211001327721,0.009510285768123138,0.003563014049617298,0.0058409107660988835,0.011931876914785502,0.011099100654296737,0.007812418569968954,0.005595926639369265,0.006545191415449686,0.0037526295087256696,0.0055856788897160675,0.0054155455831165185,0.008368528190135139,0.009658891525107854,0.01132102819016303,0.012839891260846741,0.0077358375985100945,0.01829352637633763,0.011396543459437882,0.014278257722504824,0.013403249290130514,0.008074672720774686,0.0032460620379651554,0.004570043017102659,0.007659996809026274,0.012852326094290812,0.006585011006763645,0.005983102361234528,0.005712132143299905,0.003975884628450621,0.004977955848293163,0.008621061086503633,0.005612102382164224,0.007217322805123599,0.009489326541008633,0.009136640193297244,0.010826037953151407,0.014459909626574253,0.009295294755158586,0.014419413814240525,0.011058108607166243,0.007766335311608031,0.008753685232752112
3d_movement_std_x,0.0035713218717773236,0.003889473294596851,0.011966738059548315,0.024924999984412107,0.005325383831247492,0.00694590283883101,0.0045042205373410785,0.0061525706087827954,0.0015913159128683515,0.010507828131891347,0.009612032407458788,0.007436054858228552,0.008454540774925095,0.008717216677800673,0.00945653677515768,0.007355513955024552,0.011119175055638583,0.008372641686458815,0.013461254668391502,0.003223456877583229,0.0034489570490219825,0.005491680206500812,0.010480315881167596,0.029827338964436144,0.006216564023697596,0.006725512790105137,0.0044235171914476104,0.007353460257259511,0.0037929052070887845,0.010997107748451071,0.006822665940737284,0.005915022192074064,0.007233792301157328,0.010300439747224346,0.009540410459758874,0.006550821453594992,0.010143190842592758,0.010488113959893271,0.01159543961905902,0.003618651940863907,0.00520186669638811,0.009688404262150223,0.01281521962041628,0.029560580739036717,0.006058162666597302,0.005604000903934665,0.004981522320942364,0.005169519300825008,0.005782921404078112,0.0091318574152366,0.008478212400953745,0.007484922536468346,0.010004195188213973,0.012605639475780663,0.009745576065272692,0.006332482049503275,0.011149576943381891,0.008762701727592675,0.013689029333022882,0.0038130490740505285,0.006295651805797059,0.017190299693282358,0.008042390168818145,0.02612341951772002,0.006431442362730762,0.008626563004336493,0.005737667076534013,0.008290768256217593,0.006976297585818689,0.009343403929183836,0.007818526355117428,0.00930382039949962,0.00920191000464786,0.011013735075327052,0.010491165901293113,0.008830831723455014,0.011747984356288845,0.008502843614141385,0.013355069104298657,0.004268996054554629,0.003037237482767453,0.006317974468345637,0.009003029744660183,0.02789342409356593,0.006540322850461138,0.007396679880748377,0.0059573975860630615,0.007527945053435284,0.0053692938569299895,0.010396110034173251,0.00813978151831594,0.007992392155486033,0.010194623478612086,0.01171286685968347,0.01101749171605094,0.008809630185242829,0.010748163923505827,0.008470398027476114,0.010961719103341108,0.00907770499712999
3d_shape_std_height,0.012187845775064338,0.006518645935333207,0.021264502942886367,0.00879949817082391,0.006241046695155675,0.0062833473279108,0.003337141334763122,0.006139389102410421,0.0031138263133189325,0.0073073514817090885,0.013000105999728435,0.013683380677717507,0.016123749514379587,0.01050359575003912,0.011528908093934483,0.010162276733581133,0.013808372302401697,0.010822612098291596,0.009575683779920869,0.0049374950496353836,0.007221512733087465,0.005066862244071728,0.013478028290701494,0.00734460694814792,0.005179503347099054,0.004832544848029159,0.004275697847592423,0.005595719977884047,0.007751302588434435,0.005803246973175163,0.01416475614740742,0.010477919291197258,0.00870742292615352,0.009431226850437707,0.01326982141142703,0.00945156086077206,0.015661181965194105,0.010996728739862729,0.00798684180611832,0.0030904424721026175,0.0068395033465437505,0.008810785591679386,0.012268320827008506,0.007679162155738931,0.0070227394076090655,0.007565758557493505,0.0041827926320263595,0.006275649049977615,0.007064092490047667,0.006412650493700159,0.011667711516926195,0.00912914402541596,0.014284615718809535,0.0091294332902925,0.012682066823502557,0.012459699254192094,0.014221310462850334,0.009487683051173083,0.008705558110840278,0.0049789278588684305,0.011986533296682818,0.01034690084021481,0.013155939709927877,0.0081542948040368,0.006838373538058336,0.007925698953258146,0.004998316231788927,0.00614817531188348,0.010764657742401453,0.007369586137808377,0.010854283791131542,0.01194707602617071,0.01510427031155579,0.00942885950629464,0.01337643950783089,0.01293980489284764,0.01408494363143474,0.010671925951647095,0.008238174534996034,0.0036172357430919637,0.006833731972366755,0.009698991573393701,0.0138365446909058,0.006925538145612128,0.007759041325485022,0.008429092548172912,0.00424200197680328,0.005950661818836606,0.007703051820880952,0.006123761545781615,0.008645097533441849,0.01257771218626843,0.013701356677838195,0.012008948524283258,0.01365678647673641,0.009499571860878272,0.01577818339603575,0.011346642379116112,0.008485761773511194,0.009365124007090988
2d_movement_std_x,0.00565110692902682,0.007830421255666645,0.012559052575241392,0.033374799326670285,0.005363236039327324,0.006794656094260971,0.004564651804286612,0.006629135444214373,0.002556584412126163,0.01175958736031428,0.007362297823248404,0.010192928749610393,0.00906499264610998,0.009265383099183533,0.011672710375678947,0.010038354421538363,0.011159750242229113,0.009992391837897073,0.012265207018287795,0.0024383557924922816,0.0064095441638877,0.005780474402901833,0.013664073438075727,0.032607912922886374,0.005234737149179308,0.00612218078842767,0.004152461246694704,0.0070659644983783266,0.005637591127420637,0.009791757549987854,0.007763945416389895,0.008870153144268842,0.010566636663641576,0.013097333424210877,0.010496978603165232,0.01050075190076138,0.008833692880637779,0.00888586814666575,0.011444011402032916,0.003202528825051985,0.005494181571978364,0.011653439585156036,0.013175838728512112,0.035578334232530304,0.005676214442549535,0.0058172225916874876,0.0053159270628854415,0.010557297195119046,0.006113146553189512,0.010359330722748375,0.008600532866551231,0.010969970093251957,0.009317982325342438,0.010854139130957771,0.012460099456871874,0.006758880305075385,0.011434341706675127,0.006664143471599765,0.011948988472450371,0.006284658364756282,0.006217736559750841,0.013459091173007113,0.014950903221878939,0.03239587376941401,0.005814721718984936,0.007246650472326997,0.00574706470451487,0.00864976430395627,0.008172030335633372,0.009704410507919562,0.009395354169794564,0.009550971260004062,0.011253642130129991,0.01173664656088002,0.012979113672485746,0.010875469290209423,0.013121855081967757,0.010211722091621835,0.012491169029365829,0.004402883364321678,0.004809839687242474,0.011376431150874364,0.008603345477246586,0.029332249152935266,0.0059700507160687045,0.006058128694868457,0.005147612662731413,0.006177329264924262,0.006920893816716498,0.010379438952698043,0.009032033480747149,0.00646634942068089,0.009108726455630932,0.01027491624970426,0.012903302269159908,0.009235787526338596,0.009347422293532215,0.00945959478394651,0.01142297304913416,0.009960629983286003
3d_movement_std_y,0.01266248326383571,0.009686586990493407,0.01950749632854649,0.0139817103228394,0.005913115883924874,0.00979823300556114,0.005998783472199304,0.01205840943186188,0.0029711559014541666,0.01230734232477783,0.010111122612464623,0.016253912754196735,0.008845979591074683,0.011800276807300475,0.011030660797204677,0.009536347310787278,0.012757150838651499,0.008311411888139946,0.00960024935854587,0.005296714432221946,0.010523888560066454,0.01663495456202911,0.01352704366604618,0.01196600765606005,0.005258946338945662,0.00590430968376084,0.004770423761759978,0.00917924294755726,0.008241002991088207,0.009368172511375462,0.009636580336404207,0.016792512580631413,0.007497595587276421,0.00666305565427219,0.00825966726093094,0.01075559757541412,0.00986151568036927,0.009728638169255881,0.008202207148119405,0.003815538632499431,0.008384866348314902,0.01598779433135292,0.014532501932769747,0.011330474708597662,0.006253124148010786,0.006872929538633257,0.00576276458689719,0.01280684441478192,0.006444777951355936,0.012031314076521313,0.010180309416798478,0.016166182562567792,0.008694774803929961,0.009623140077066878,0.011788325756145763,0.012692277189143997,0.012433998407629026,0.008051241481372326,0.009245900217279116,0.005189081466215896,0.010588424131091827,0.025032816252468684,0.011519483935422145,0.011344325826352917,0.006771158928831303,0.011492081856201772,0.005052344249600486,0.01235704248071268,0.013601965147117472,0.011974315064067058,0.01012519772360372,0.015393403001552229,0.010487305074169406,0.009582807644569388,0.011798686029952822,0.013979987624089175,0.011053704742523464,0.009928060896788661,0.008534727597190539,0.0031585002985983785,0.010444866331482198,0.01926323538184228,0.01231256796345854,0.011404700858737616,0.005506044371651658,0.011408125509792328,0.006579445717915055,0.010819358760066204,0.0057728764830035206,0.009346434290094945,0.009044021688452065,0.011763792144851199,0.01362553582796449,0.010780680936491493,0.010752838518484633,0.013660768166948332,0.011562665399222339,0.009067842074137702,0.009139232111996787,0.010358788273503299
2d_movement_std_y,0.007458663598348596,0.0211596661680952,0.018650208804302994,0.020065497215166424,0.00645892083454609,0.007709566026878526,0.008358107256388376,0.010618604303935346,0.0027858870839685,0.011346128365713292,0.00893499935025563,0.013306053826958167,0.009216481716540027,0.010269143763229713,0.011008677200868417,0.012993301336677194,0.012884394043308245,0.009778914947538324,0.00973328669177897,0.005111890527519743,0.005718237955181245,0.02583086916997309,0.012202616846177398,0.01921477358246687,0.005385254030391177,0.00726313927489582,0.0068829208870725125,0.012376044996598697,0.006986592947424554,0.011821383852734258,0.008950123268425182,0.015854464265623976,0.00658845781168448,0.007703432589487551,0.008264431869311016,0.010782062529407568,0.010795671615616322,0.009477105018147476,0.008033081023132058,0.003021094310206049,0.00424928169968867,0.02658581234265197,0.013205885919726434,0.01404198633731661,0.006335134739234784,0.00767140142055901,0.008289562836503773,0.016965662093587384,0.006500375218881237,0.013241032500201614,0.010718562959981654,0.01480797113652913,0.010293095201027832,0.007982785250798584,0.011336023020022474,0.014532666188422163,0.013647217217590815,0.011261727917855582,0.009326827815064373,0.0036390086763641773,0.006850033234792336,0.03303253123071879,0.013810942729946676,0.01435232104810519,0.006762584942168703,0.012124075543745593,0.00624853905214447,0.010876656102742235,0.010449451992153223,0.011332589747050547,0.011254730401236819,0.014772568378340538,0.011836503021288827,0.010026289147621397,0.01229230789120864,0.014523156089776116,0.013407395085996145,0.01084757024758929,0.01022132058180804,0.003230123243649814,0.004365427830587173,0.018570185186789004,0.013753495074706745,0.01503807892063513,0.006269628040309283,0.010477961713156722,0.007679607465271819,0.011479129669583801,0.01076916561711015,0.011039067638261324,0.008705892971056345,0.01402616634755097,0.009080113432858462,0.008574318966651012,0.012431439273948384,0.01168608721818008,0.010336177608087778,0.012634847516364674,0.008557600706070694,0.011003618710174202
Study_AP,0.009954605066417481,0.0020477289429275953,0.00543218359339952,0.009178648452143593,0.00840321304382126,0.01727921191361167,0.006264416469837988,0.01425333260800171,0.006618015571967729,0.007458477352749933,0.01013876450653697,0.021742087562946474,0.018617864937609235,0.008232625977901429,0.01885600540070756,0.03074260419424229,0.014120176132158565,0.011948828304653688,0.009543780249852637,0.02064594764471643,0.015120012529883564,0.0016397604993541642,0.009449651122052425,0.011478737988257237,0.00898288779392834,0.02163265640618183,0.009788924325150727,0.012868064030591882,0.008076684272264621,0.012360511322318826,0.009622195840912218,0.015682048997888384,0.014262309780811978,0.009474001622314899,0.019923139941329954,0.02229031111174714,0.014693914319990944,0.013664246272666596,0.011206771426413725,0.021105542128423537,0.013694180257980875,0.006297216290695412,0.01185854900558033,0.010289200697795995,0.0066480971398233755,0.017839129849788277,0.01036534665295473,0.004616941161804522,0.0112901353749981,0.008880467529744768,0.009490252078423403,0.011768109768193398,0.01213230425599072,0.005729532514324554,0.015216760552122193,0.023711333616739175,0.012326265032864516,0.008670680235752183,0.009706774102770573,0.015047373323247187,0.010465039537820563,0.004621676756046924,0.007798869793172162,0.00798902808607305,0.008234248575468348,0.01241410150506221,0.00656714908093562,0.011380249144481417,0.010606135656083206,0.007588515482552566,0.007468679737968388,0.012912871481004139,0.014812485623262976,0.0065454272570870595,0.01056992641969367,0.012836318002293364,0.012981615260220757,0.01053422420814877,0.009217625914334988,0.016743918592877646,0.014024659673725239,0.007325929245343972,0.008570428830515264,0.010525887256887393,0.005400514267701761,0.014427758422700086,0.0067861016272168315,0.016409883725772633,0.013400345875598286,0.010050912242253258,0.0070401236932251645,0.011229292871421992,0.011482266335892421,0.005738859775576092,0.01299011865973608,0.011662379367276175,0.012911695843732729,0.009895144886896336,0.010982029105446291,0.011550727039614008
