features,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,value48,value49,value50,value51,value52,value53,value54,value55,value56,value57,value58,value59,value60,value61,value62,value63,value64,value65,value66,value67,value68,value69,value70,value71,value72,value73,value74,value75,value76,value77,value78,value79,value80,value81,value82,value83,value84,value85,value86,value87,value88,value89,value90,value91,value92,value93,value94,value95,value96,value97,value98,value99,value100,mean
2d_shape_std_width,0.002627322049328033,0.007920338544186068,0.007640394779313449,0.010718028865314358,0.010250044415878467,0.00597848384952059,0.007696411438275179,0.007007494549814772,0.004105538270020738,0.002185380125754775,0.006443845159698678,0.008938145510369483,0.009616909686964442,0.010549928001995265,0.012150439098342767,0.009855225181392974,0.00850555325520223,0.0123285517021983,0.008022471088137619,0.008959708523672366,0.0020972405257931137,0.00920737618502687,0.002834109269457398,0.010376389136806082,0.010709023419422245,0.005895331402754125,0.007107886023890928,0.003964303281497116,0.00606982977103657,0.005345854548439148,0.00447729380551103,0.007169456320367934,0.007603215354630343,0.008888692335418155,0.012900011016014559,0.010795229316407357,0.006823841247601603,0.011602670439806005,0.007502103002003877,0.008086903423810231,0.004072134405789416,0.009904099906898545,0.005838943626165094,0.008389019933745884,0.009506711898628417,0.006442500410718627,0.006574540686237414,0.007201010258001932,0.00392988824268218,0.004111819225699871,0.005203338015982552,0.006701832663661933,0.0075732565938969485,0.01212219506694097,0.01088870856334319,0.008158294382286064,0.00937827752737096,0.012955965142571193,0.007802146984358009,0.008602285325499216,0.0031805415417688106,0.006351508148973378,0.008730986604525594,0.012425509189741965,0.009789279707859538,0.00762262176096338,0.006718624877937449,0.0069388009466805475,0.006681571587289215,0.006847614851433547,0.005882267475874014,0.008901035172621448,0.009179866597267371,0.012320279605274315,0.012521305864183017,0.011559730849853803,0.012048761297618843,0.009894112942130915,0.008579688228645856,0.008650265305730428,0.0036919760127674577,0.008040716135097378,0.009844920375036726,0.006276671390835448,0.008972652593599532,0.006603289012255026,0.007792138307512681,0.004973420783915331,0.004927852368493128,0.006155900755332508,0.006926102944625987,0.007657069913831413,0.007079932289402223,0.012447138715946654,0.0125072756848471,0.009969674261591925,0.011031455985795949,0.011754646585997397,0.008651938121553569,0.008737150301912074,0.008051802378782764
3d_shape_std_width,0.002954281733037688,0.005060460880152743,0.006502896689086695,0.012546697542120833,0.008393283588829124,0.006840910036994415,0.005536111377268481,0.006418692929353887,0.0057477481228060895,0.0023803160991289424,0.005961013743602371,0.008985308135341675,0.013260064456705531,0.014467884282150147,0.01516402305635119,0.011400625525506318,0.01063238227920898,0.00971096382527079,0.007625992415628209,0.00967546361349801,0.001208782672885644,0.0041632317783002245,0.005310965846602572,0.007468395152927232,0.005573605315052834,0.00740679205747711,0.006084017134381881,0.0049526989563268686,0.006066381979231852,0.006673524269214167,0.005616137616222583,0.008451857564928592,0.0068172557179613565,0.013664686107099313,0.01692817747893803,0.0090370584126832,0.007745473252898448,0.009648328138548745,0.008619341437337138,0.00907261466105351,0.0021939022878014187,0.005165183453367291,0.006389949573520682,0.008307394913562898,0.007501691313883979,0.006886813013799248,0.005670047509978212,0.004810983361365941,0.0062521194748676664,0.00475971310475109,0.005593440895027975,0.0063742231464026175,0.0077662137224088455,0.017420901668323066,0.02127237075377287,0.009873148628780023,0.007384112825912816,0.009112950338010703,0.010885652294143287,0.00969095148363768,0.0025841216339416435,0.005230697796349105,0.00983513275407043,0.008185027756460243,0.006637304829956437,0.00624185235789036,0.00812703132019185,0.0045915414011170955,0.006233832072236929,0.005823216598591449,0.006614083911132632,0.006350019621963534,0.008245677319290271,0.01899529144164761,0.015725301211212135,0.013754930912157124,0.008802160736574105,0.012810409857148259,0.00920477571428836,0.00942556168614761,0.002060338400836793,0.004915076329360959,0.007493292689010969,0.006715592876713344,0.0070951623209591875,0.008073103495577673,0.008118187853448543,0.006009268041457398,0.006758349067792269,0.005691328612998361,0.0047282192924892824,0.008322373083700686,0.01002888620177821,0.017715299955230805,0.01482279873025795,0.01123122772946155,0.009484604800255961,0.01006849767692883,0.00952765222821523,0.010243843838394892,0.008256072838026674
3d_movement_std_x,0.003589569483321878,0.008210432538722057,0.007449623829151656,0.011132533408373488,0.02419423391678173,0.004717566158434474,0.008572214180897068,0.0056595354902548925,0.004972901414456861,0.0039717682579911515,0.008969478676628586,0.008948251667734608,0.006904348964575383,0.009578379164933848,0.008975553223422623,0.010311231046595095,0.00729021136136939,0.010030528326913488,0.010449515081745875,0.014305382081467961,0.003196949572072667,0.006238548545555908,0.007013151880387902,0.011741489426733212,0.02722573977588583,0.005238652372974071,0.006733986762759,0.005188860151664295,0.005059941390809611,0.004259987329255573,0.010357755464819736,0.008137597545608779,0.006666925333875351,0.008046384781544685,0.010089643326138216,0.00983860682884296,0.0064672213082691025,0.011417178329201774,0.007474408308880957,0.012472535100689273,0.0033321929738851807,0.005060704222962714,0.01512125905654597,0.012692961436901923,0.034578500221945,0.006325007303097076,0.004948057813639785,0.004533883016695035,0.007742159825745244,0.0039302658846576445,0.010267513054415336,0.0098887196949117,0.010004541210699262,0.010409259115073228,0.010937838456683419,0.010809512497055715,0.008734006659340631,0.012384524965286652,0.0076604889561680154,0.014333407693729821,0.003644673117233368,0.003898414718376062,0.01581257121468045,0.011019447416843627,0.022923275031573622,0.005654128979322828,0.00689585156433582,0.005487368828145562,0.007789644294493875,0.005348551268532799,0.008379157056194934,0.008170503700329096,0.01125262268185342,0.01014587667040692,0.0107672603693317,0.01159919137950755,0.01085753948654059,0.012649230574965104,0.009479129458772486,0.01317585125489887,0.0028550866916773505,0.004428207869663418,0.006267437718387413,0.010146019778952724,0.023699534913183974,0.006594310003076737,0.008190357127123954,0.005232318971473405,0.004725299945004247,0.004208811017666255,0.009472894887261725,0.007824653720622821,0.008083507663922157,0.009034240663989454,0.010217082412193934,0.011242237003872375,0.007761936009046044,0.011492026828423835,0.010247998281213186,0.01230605440164303,0.009237739308439175
2d_shape_std_height,0.0038458681188934967,0.012224905056959683,0.023035665334814694,0.015821081626432983,0.008324617747942804,0.006714488429520662,0.006886533682278459,0.003678093218424829,0.009418159443286833,0.0020665718565676798,0.008646234551908754,0.010126406186420125,0.010872314283291518,0.011573430644229697,0.010712954193681795,0.010536710987022038,0.010940712799304279,0.013102433485568735,0.014103881409991604,0.00806938132096501,0.0023150745362145835,0.0059638449026735586,0.01921058794956544,0.014973127306043449,0.00891051407829715,0.0056597207805131455,0.0064634003383975,0.004102125512018553,0.00477342303716827,0.0060252262833473055,0.00862786549783318,0.011516776537232263,0.010794652365395018,0.009135923023028191,0.010222456222486893,0.011418060926515403,0.011534247290047065,0.012023799451700292,0.013702575779102364,0.0073820858086418376,0.00363490518670415,0.004878615692081901,0.009313482835695618,0.01261462961818867,0.007099692498416398,0.00638097653383403,0.00469107747049337,0.00406931931356505,0.005327461207887059,0.007132463991507722,0.009023435140462676,0.010424589474732241,0.008549891722537922,0.008771614871987174,0.008707367716488255,0.013381153335338188,0.01284765690891631,0.015524399608231362,0.012810771094921845,0.00801415679245652,0.0038556564374683305,0.00777693456832393,0.019430937011822743,0.01300712636720926,0.006983345743744068,0.007473277335300543,0.0073472500187399935,0.004449764745046385,0.006778981332060365,0.008975679993325734,0.008670865264590927,0.013246849377275126,0.01080539092922301,0.010222491746044372,0.010836567912730882,0.015480611745170552,0.014907626395731708,0.013954376990671882,0.012888131739965896,0.007712494267338349,0.003571500057561108,0.007019200173780828,0.009347498369583391,0.012938905122987366,0.007799306340109767,0.007486654523524271,0.006952178362184864,0.0038924981292374986,0.00638941652327086,0.005091086048198734,0.006981447179103424,0.00984368347026197,0.013888693796651226,0.008980921729708859,0.010148792131953853,0.014033144039704251,0.009285270905592018,0.013636328984375548,0.012756918350189378,0.00740809516101818,0.009409094923389554
3d_shape_std_height,0.004521501200896508,0.01119485319090993,0.006613819722686386,0.016524569382327804,0.010205995671086092,0.006656540056750781,0.007443234143451073,0.005213280016805519,0.008941285003586855,0.0025420459953577356,0.008030111112283004,0.011310139938884687,0.01566582349350648,0.012002298577261317,0.010459813455861404,0.010942372227726824,0.01251697611080843,0.013392435647115201,0.01142452394831033,0.009063897840814173,0.006141049747834578,0.010734599737061503,0.010958476543637902,0.012691303781797125,0.008522419029093288,0.005614631673455808,0.0068861415316335975,0.004230466121653256,0.005760582536067823,0.008727239572597944,0.00802911043861435,0.012946178018068714,0.010326773115782065,0.008574631498628565,0.008382583137710436,0.011402504296147746,0.014285650960688926,0.015084457571489084,0.009579160225602706,0.008165315560805266,0.004081352604757365,0.009909241925417702,0.009481887843889309,0.013266249236599258,0.007826365562253515,0.006637366491637684,0.007417741955669484,0.004010105265531806,0.007303046583833337,0.009029116642624206,0.008192260408565718,0.011278221621248592,0.010605815609950442,0.0131054038221146,0.008615696226879209,0.01297995028720805,0.012475812627647307,0.017762995890699834,0.0107818467179461,0.008414590255890232,0.007243416763969759,0.00894276474168944,0.00795541659226776,0.014562351451920953,0.008865513124713216,0.006540456257602094,0.009314629051329532,0.00471519887643628,0.005024324936813936,0.008425889817613958,0.008903223044135208,0.01244237899878163,0.01201564084912208,0.015085209703874532,0.008600238816789679,0.01278395614814435,0.01587770539570593,0.01507995414674605,0.010194872893503591,0.00782224301127623,0.0051598904060599195,0.007230380290819308,0.007802878529843755,0.015259062278298097,0.008283438261381403,0.0062988858785661675,0.009755429595184498,0.005000977327654983,0.006258870425226264,0.007777851269385856,0.007853880002056312,0.01054125076146045,0.013970836042248946,0.012118194694598121,0.011336757771312071,0.012398805434708478,0.011452206296290263,0.015534791496486233,0.010080181075837313,0.008314559223394018,0.009677083710984134
2d_movement_std_x,0.004087164945442551,0.009240781177336671,0.00927472290703628,0.010592047809426835,0.033106283158518,0.005832640733915948,0.00600589468892351,0.005565536047186023,0.008230851026997556,0.002405547684696299,0.009932417097916401,0.010299174773292927,0.011448456070613169,0.007807623954934779,0.01007244826613573,0.011151655119382603,0.010274426807889352,0.009308060228955532,0.00950529260820898,0.01178222103888173,0.002112910215845662,0.011373811687843727,0.008169383486826668,0.009351890528358255,0.03518506092646067,0.004912778616771353,0.005314076931339813,0.004875689693443138,0.005582066583303457,0.006828766953892852,0.009265695451356238,0.007527263381280842,0.007562198056156292,0.005962713552382496,0.010705116889261634,0.0076027696472679785,0.007469844212430794,0.01085312275014966,0.0070394227497931824,0.010789028444261616,0.0026803421202888124,0.008131463928147805,0.016517131034459804,0.014339167757652727,0.039104177510136374,0.005360131184941484,0.00518339110418808,0.005290623236367798,0.009303228769815913,0.0034661332560435285,0.010384976365171402,0.007828348825937286,0.008784695343811806,0.009339028853777236,0.010252873198218484,0.010830893482128122,0.00596135364239728,0.012383708968026876,0.0063927385659889036,0.012919469334842235,0.00507975605398847,0.008049949465986257,0.019268398965134284,0.014858443151607652,0.030804042517397386,0.006529820166318672,0.007204771540579431,0.006189399856188144,0.005726385151631135,0.0096049399136367,0.010168986863495178,0.008824748129383563,0.008323213633293339,0.009042812525349712,0.012090229408730599,0.01107364850370994,0.008611564843922576,0.01184064027890239,0.008728526577959746,0.010243857338456348,0.00512040122479638,0.009078345232519278,0.013743085319922636,0.009091566433956411,0.028136926724297906,0.006752860208154636,0.007713417893996195,0.0057384150941090254,0.006618903040844218,0.005764629087414794,0.010680164916271462,0.008574083142727212,0.00775292065252278,0.010930842617480147,0.010921272267478148,0.012153946122376146,0.008261201567514675,0.011959473486632894,0.0073379418957990935,0.011489776228311996,0.009889450414292565
3d_movement_std_y,0.0062670274979992995,0.015136577658795575,0.012324299708549981,0.016696251675578696,0.012643008745984596,0.005573515744829007,0.008597212666103204,0.0077959867075045155,0.010132173803761775,0.003526535541816937,0.012027362661412237,0.01158770757516748,0.014275613779791554,0.010608346591536824,0.009373034642760422,0.011386047274093447,0.01571269492988959,0.013602917533137658,0.01140937225776417,0.009889890855996016,0.007977187981064737,0.00963885698120526,0.022365140421841456,0.009767215044907964,0.010714292378833735,0.005258094061541788,0.005202640252155542,0.007035920076685191,0.010454182833369987,0.005735479785427477,0.009319262598546945,0.009054191979048547,0.014283498057513177,0.008300779740819258,0.0069554409867478685,0.009022994859504868,0.015572788750521583,0.008990800265330931,0.009887833341135396,0.007702181980261881,0.004372199037293797,0.011022654495377659,0.02456856082761735,0.01845833870223504,0.01076879888026808,0.0054435576403774584,0.006820974649626709,0.00838384038217864,0.015520321790282817,0.008056883348991897,0.00929975390779547,0.009184509417989584,0.01869554930364575,0.009319565026408428,0.009330352113016832,0.01203489638884926,0.012853391263980425,0.012369252432188513,0.009210592066510192,0.008818056008757097,0.006750061229692327,0.010054725028459182,0.02012584105833242,0.0113303354261127,0.010500705806559835,0.006838736728539153,0.009510902690327984,0.0078059408476420875,0.013733804726723418,0.007243214562698694,0.010428648598727091,0.009050533191370266,0.014080904698101918,0.011512668025275634,0.008445609948324505,0.014106023613848129,0.017214860798829404,0.01228333540338269,0.009287930301980628,0.009442405251883137,0.003885100812552073,0.013066008308980314,0.01251533451440604,0.01292660714956007,0.010356664354365976,0.005818371806318314,0.010962181209247827,0.006692536660911018,0.013982809105911573,0.006306197601547776,0.009497204299176148,0.009347361518925288,0.0129463024420406,0.009070956970441413,0.00851104675788481,0.011390752824292288,0.012356820182478615,0.012564123602906043,0.009238927315136735,0.00856962221950818,0.010560885255057299
Study_AP,0.01788857583072852,0.011422359486576225,0.004981733277248358,0.005606747466489133,0.008764828585887417,0.007996291754435,0.01700667018116552,0.008456911822203492,0.014343866296334643,0.006115723199391999,0.00907858115416407,0.011303148864889957,0.021505545792624828,0.01858202338396859,0.008282685033450487,0.01962632227716011,0.025654365132087277,0.01353720649995029,0.011367836221011972,0.007629715034520693,0.025543555096607502,0.017275448033551886,0.004052209936088366,0.007732994891338785,0.011894449225916079,0.008415271784261599,0.019978186192315128,0.0099977313942138,0.012645657661132386,0.009291571355336321,0.010639433366079485,0.010113661065694108,0.01948524521764576,0.016626026728427796,0.009027794390591011,0.017965402632128667,0.02714943209198236,0.013478398350717513,0.012380928234303161,0.009969457993084354,0.021276236719936722,0.013288645298572464,0.004048124052343933,0.008582560938008119,0.01009338746925736,0.0057874065049471155,0.012427200090207995,0.00782126084324512,0.005047509100622882,0.013627261501632546,0.006425376224998245,0.008887108529173312,0.009257336535904341,0.010508786153545594,0.00644223016982643,0.015677358504215703,0.019075266887417692,0.012309229528870844,0.008232760767157147,0.009546419238031767,0.01591376711414124,0.008036592713228763,0.003567438383268584,0.009594420474822944,0.008450363918369638,0.007910761552928355,0.01221212525585284,0.004654901241821748,0.010564240356127588,0.009573205654564694,0.007637763079677589,0.009143457777565218,0.01430872870578728,0.013280372970056142,0.007446099748198709,0.010961519183162648,0.014702478482925425,0.010890224554475551,0.010719304050440439,0.008861041584198393,0.01669187050433435,0.014093173251963674,0.008580716788012883,0.010900208589671985,0.011286114524690659,0.005517278379337436,0.011540418396799765,0.006359902422897493,0.013000084737860079,0.011720761052804557,0.008443172398698172,0.007742671319176859,0.01617361538668914,0.008697567888814857,0.00677555931571318,0.015446382787097823,0.013338530897958703,0.011715417323588308,0.008156079500049398,0.009999075152564731,0.011457828654139579
2d_shape_mean_width,0.0059114794254546766,0.011306164726232137,0.019017944692019142,0.011865953544530567,0.008209445019680168,0.008725694601915359,0.007176356378180003,0.01909111712017419,0.01733481679563175,0.003110721944871056,0.015759186958667817,0.01205813487265569,0.008605294564678803,0.015070677491685568,0.015565153488503364,0.013813951185498769,0.008807039979422,0.011680064201703496,0.007427055759208827,0.0126777419254331,0.00647328022688046,0.014432107262712823,0.009775363899196981,0.008670997837669878,0.008273328306577513,0.0073812066733385156,0.006529108452579475,0.026820375320123106,0.024491390875212782,0.0038455883116656118,0.01708847278833188,0.012051902520775301,0.007385666627945892,0.01701253903529069,0.015127839562555121,0.010807381178138691,0.005630558760430696,0.009345261364917333,0.007145505482048081,0.011284748810781483,0.0073652067555057535,0.013019775343675015,0.015404778443441855,0.007736869398414703,0.009061257181760757,0.007849512223511596,0.008259767486994179,0.01670193889601708,0.028327479760831834,0.004744474744801888,0.014491270056320456,0.01128545446741565,0.007400413697594946,0.021065156192541238,0.01382378600947473,0.01172648669233202,0.00584007300877928,0.009796093546539394,0.006653350662330625,0.012456359817656073,0.006556094984008483,0.012688925859473402,0.016455057274228562,0.009688846961991644,0.007464396593959205,0.00845667835071757,0.007280443674926413,0.0298941064909485,0.026717369773013474,0.006740512646321936,0.018610509004127255,0.011331693625054682,0.010000237805110512,0.015310958837471474,0.016525861981312354,0.011902731098449935,0.008676621372202771,0.011865327645934171,0.0071913296794428585,0.013513818836475441,0.00801900336214834,0.007931415384181914,0.021945211910544667,0.007333448547986136,0.00817276689675035,0.008613861788924008,0.007191629019162945,0.0292574786772773,0.023230748276089504,0.00668480976444057,0.014590070570338067,0.015305471141408239,0.010968363789535729,0.011844033229873558,0.01666424358574681,0.010320482621315947,0.009849107820077061,0.012802516452018319,0.006832930112148945,0.012597306463636436,0.012028225442680333
3d_movement_std_z,0.006345963644571626,0.01357523102470342,0.0053617075482533,0.04048020406306302,0.05197708401911951,0.007169352484648855,0.0076207163213468975,0.00447589534176267,0.013136155397297811,0.004598644873372897,0.012614409692734708,0.008808460884758774,0.010559715983785902,0.011420553094081933,0.010086294322421077,0.011265950975578276,0.010861878611037585,0.011734106414295632,0.00885294992829068,0.012010640871635076,0.0031794239534091136,0.012252843296355766,0.003471528095886088,0.030590822267642707,0.040058964626804174,0.00688985362272264,0.007553293024023754,0.004873215519573457,0.010464711155329891,0.010190755205296586,0.009379770956094909,0.009050098342431331,0.007149482007160356,0.009428263518356178,0.006885349749331061,0.011845734280397915,0.00867055576920617,0.011913522284992546,0.00815397435160447,0.01005755612428625,0.005883035848948423,0.009428265672990203,0.006361957897512677,0.04194501344452945,0.03874205219147929,0.006055840918434001,0.007698255490158312,0.005623872525445144,0.011416546409831384,0.006341739719178776,0.00961342740136845,0.011093197129406193,0.010634916362431603,0.010791001335974399,0.010334146212085081,0.009838289414581956,0.006003137240867781,0.014753567899891042,0.009691579081715024,0.010949580350605058,0.005237686966961991,0.011842519879438037,0.0064508177793176115,0.035908455151549584,0.03776457858066288,0.007075270748920249,0.00866370056422697,0.006066341473488474,0.014075989693688002,0.005162219207080641,0.010380109354495522,0.011712933921781308,0.008893734279000648,0.010926156003831346,0.011062613016649273,0.012339487538211218,0.010566380441376873,0.012621014788041441,0.009243099450329504,0.01069864207013419,0.006069256386962573,0.011958178171011158,0.006113802537101729,0.03366781221344776,0.03410926800088025,0.007424873841328354,0.008781264178858975,0.004747398314390164,0.011930344144304366,0.005589316340054742,0.010989104080640062,0.00779497023919155,0.007377180770443997,0.010162616232799215,0.01167581854335971,0.013707470613477726,0.009117096199934489,0.014215348272668713,0.008317983884167386,0.009571380610658497,0.012082272906799665
